atom_numbers,value
N1,10.55008943009102
H2,1.937657252300502
H3,1.9251615102108315
C4,9.644445473082229
H5,2.078852256232498
C6,9.702033053688842
H7,2.0846100320783574
H8,2.0561648503090177
H9,2.0760193264250444
C10,9.75256422980669
O11,10.95151019492003
N12,10.41001931851409
H13,1.8745914923698717
C14,9.590642164579245
H15,2.0377470130861592
C16,9.6213016615923
H17,2.07597735661544
H18,2.0673567365252326
C19,9.63326277362654
H20,2.062704241062457
H21,2.0584871404521783
C22,9.62705616947924
H23,2.0636905802493497
H24,2.070189637949351
N25,10.32498802782283
H26,1.8411815895820827
C27,9.583695615628388
N28,10.34260082242817
H29,1.835741841245178
H30,1.8348373852449014
N31,10.311740591154464
H32,1.8359146938595656
H33,1.8358255756751196
C34,9.781886095865149
O35,10.896313639959391
O36,10.886050489161345
H37,1.7383654014604386
