atom_numbers,value
N1,10.569251127609496
H2,1.9291851014455728
H3,1.9266355556233083
C4,9.640009082824768
H5,2.0762285622231236
C6,9.706199206964728
H7,2.063971960446062
H8,2.0812437046212366
H9,2.0899242883033686
C10,9.737183285013696
O11,10.948237032448775
N12,10.380635155236028
H13,1.8763410699536134
C14,9.588692769258733
H15,2.042199442359742
C16,9.610370518372068
H17,2.049700753541419
H18,2.0558148485599155
C19,9.779717783628469
O20,10.936293967696146
N21,10.474124740861987
H22,1.8911816786845341
H23,1.8915895163463694
C24,9.780177964310397
O25,10.909298366782915
O26,10.88411191002459
H27,1.7475209660155233
