atom_numbers,value
N1,10.507275075915707
H2,1.9341040284937927
H3,1.9264098627822093
C4,9.640766715914456
H5,2.0890766077263074
C6,9.706519343795232
H7,2.0699971455572674
H8,2.0789753843302403
H9,2.0898857176678542
C10,9.704873934615037
O11,10.944311015704814
N12,10.343301532841084
H13,1.8821453254027103
C14,9.58391454159602
H15,2.0414261766796176
C16,9.615610547955383
H17,2.0544503452691307
H18,2.06017237786692
C19,9.57428309545604
N20,10.46025424589748
C21,9.6241197374235
H22,2.0664247273244607
C23,9.688710314669214
H24,2.073151096455392
N25,10.38392512008963
H26,1.8756844709725324
C27,9.778349737301927
O28,10.926939553021635
O29,10.928847743498164
H30,1.7590317558290187
