atom_numbers,value
N1,10.58231064845966
H2,1.934408447716329
H3,1.9266657570083554
C4,9.640336649909903
H5,2.0872739267014295
C6,9.71031413756291
H7,2.069577731727414
H8,2.0792129229144103
H9,2.0875955920971525
C10,9.745335190842656
O11,10.951346311540687
N12,10.416716211514991
H13,1.8856137254388932
C14,9.580906702765215
H15,2.032517801516898
C16,9.555309321070363
H17,2.081266849103355
C18,9.639538708722414
H19,2.092418523164691
H20,2.0933357489110307
C21,9.710388927852344
H22,2.0852625608570463
H23,2.0873184271092216
H24,2.0743617093341395
C25,9.720865973295172
H26,2.088923432703337
H27,2.085038030572314
H28,2.0917583122822436
C29,9.705466219267242
O30,10.885554748339898
O31,10.8683952409442
H32,1.7567498340800145
