atom_numbers,value
N1,10.565491600770084
H2,1.9337786955502974
H3,1.9265745612573588
C4,9.641174299073322
H5,2.086321844832323
C6,9.708788551099618
H7,2.0869802018659023
H8,2.0691835174219024
H9,2.0793373292085233
C10,9.744151705404903
O11,10.949243645166773
N12,10.409337594667587
H13,1.8857568485937184
C14,9.596187670058853
H15,2.0321873233137344
C16,9.61975736411821
H17,2.0902193351665
H18,2.079472630519695
C19,9.575310595859237
H20,2.089581713168688
C21,9.715638890487703
H22,2.0883865260207415
H23,2.0941015574374857
H24,2.0946333677611584
C25,9.723850535598713
H26,2.088823244252887
H27,2.0993347220788303
H28,2.0701386562625506
C29,9.714451016115136
O30,10.916373713376215
O31,10.90112042578299
H32,1.7562168634385162
