atom_numbers,value
N1,10.49795559480845
H2,1.925386180565253
H3,1.9339359199786639
C4,9.637961839908357
H5,2.087934022288958
C6,9.706049678044922
H7,2.0777571210425725
H8,2.0903299211761857
H9,2.068733136492635
C10,9.698766557200805
O11,10.935785451789725
N12,10.327560384220616
H13,1.8821369436851252
C14,9.596010328902926
H15,2.0291622310607593
C16,9.595954693337454
H17,2.057771873392604
O18,10.925508803294035
H19,1.8065724408715804
C20,9.73323389467352
H21,2.079795605526085
H22,2.0969533538689396
H23,2.067379092707328
C24,9.690084938181458
O25,10.910788181636196
O26,10.891472396481943
H27,1.7522335513877663
