atom_numbers,value
N1,10.525674896194865
H2,1.937985472225782
H3,1.926135285088833
C4,9.642220400790862
H5,2.0895220511668144
C6,9.708375636388402
H7,2.0881596554884383
H8,2.070183470610159
H9,2.0787163965823496
C10,9.688974023746175
O11,10.94796587185154
N12,10.339672417305858
H13,1.8798066804246167
C14,9.587520384292915
H15,2.0392835812549737
C16,9.61313086966196
H17,2.066938754330155
H18,2.0526729008382
C19,9.519967019020836
C20,9.592199874082253
H21,2.0759438934076324
C22,9.468434649481631
N23,10.391989193492618
H24,1.8816018087472128
C25,9.502657474663598
C26,9.534520666511161
H27,2.0819342413609614
C28,9.552458895783328
H29,2.0829205215131514
C30,9.555013896275133
H31,2.0844646891521252
C32,9.532434390421562
H33,2.081265524228794
C34,9.67455069909432
O35,10.911133407580321
O36,10.889042651394126
H37,1.7538118808494032
