 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,C18,H19,H20,H21,C22,H23,H24,H25,C26,O27,O28,H29
N1,0.0,1.8226977287005472,2.0374270793449893,2.88483263037213,0.08775987459864709,0.19565577731614847,0.030665493552482936,0.01387241603608591,0.007509601085219475,0.22584997271118293,0.04987461941571071,0.03501573929724716,0.0025058879987680527,0.007027804391416703,0.0004552247045646052,0.000860856181913755,8.372605151363288e-05,6.359966022589231e-05,4.640588399773549e-06,2.3931766846008173e-05,4.339303632416858e-06,0.0002480663797301136,6.374896583061229e-06,5.680139849317811e-05,3.3685584985843064e-06,0.0009636113125449097,0.00011598770515958146,0.0002940581499329825,7.558516746541954e-05
H2,0.0,0.0,0.027113743393823997,0.10736629664943742,0.0073648261825269845,0.033742657691600675,0.0028558344962259508,0.0007628334186513541,0.0007978077673713724,0.00780524433689711,0.0034181492646447875,0.0005029300344570053,3.426446100518454e-05,0.0001781475917718156,1.1876068830352082e-05,1.2221936874445838e-05,6.767267472840288e-06,2.622230005577819e-06,1.2875522721333965e-06,1.160042161441055e-06,1.2514722591561167e-07,2.2929100699231597e-06,9.517752141974256e-08,4.5603686160688994e-07,2.84741717093695e-07,1.9998939560950113e-05,4.096047213297815e-06,6.313150642589527e-06,1.885911653287664e-06
H3,0.0,0.0,0.0,0.10547108275150652,0.036679407069117875,0.008882235174425657,0.0002670685226475733,0.0001640555582078651,0.004491234508687603,0.019232650413536168,0.05025105050210332,0.003483823650267115,0.0007936064275868571,0.0004271749315473139,5.161733238034927e-05,4.883817801015766e-05,2.2680907330485667e-05,6.392959552847799e-06,6.985593679065261e-07,1.9828631643292738e-06,3.8172402019309715e-06,6.139859223486255e-06,8.498079016039384e-07,4.3637560254161656e-07,1.2880723767594304e-06,6.885236356890534e-05,4.0968126177598485e-05,8.080344679028961e-06,1.8583428937901658e-06
C4,0.0,0.0,0.0,0.0,2.104327322074977,2.735491783525539,0.08633346731933345,0.09255890731167771,0.08455897844272675,2.563330245993689,0.2794835441606595,0.2239189644538005,0.014748880740784842,0.035701518378549874,0.0036349422757766536,0.003469367043385574,0.0010119796358813993,0.0002906471983922937,3.4142459496733224e-05,6.929388214982346e-05,1.3659002919386154e-05,0.0008443860649317569,2.3420208320468205e-05,0.00012631002096208377,1.4810274483245678e-05,0.00415962340058032,0.0004298838123942411,0.0012144902107963512,0.00024957969940497815
H5,0.0,0.0,0.0,0.0,0.0,0.08123307682091774,0.004304345759884365,0.004963050208166564,0.03514565047454177,0.09583255660783352,0.02423718462933422,0.01170727518250625,0.0074233318755185795,0.0016575721392757536,0.00035912404683635657,0.00016089455138468267,8.878114256050118e-05,1.9150467422290873e-05,1.1352788089613597e-06,1.2601190505057147e-05,2.1533406402429733e-06,2.060549035154402e-05,9.269239178433253e-06,2.016104985624878e-06,3.999733744430856e-06,8.717928156198873e-05,9.48425899293115e-05,3.390239200062872e-05,1.1681232195082103e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9188962967410585,1.9373717862911088,2.1619888912998473,0.19449143965264884,0.03942777104208088,0.029513804445655156,0.0016290932955571602,0.0033112327351194626,0.00029750986235754784,0.0011441862521510554,0.0002573330152125797,9.645424428393612e-05,9.5085699269859e-06,3.589870480080748e-05,3.901598461419908e-06,0.00013173027346340127,5.104251558751827e-06,1.6021382470476908e-05,6.5017934842703795e-06,0.0005651938280148983,6.755044307774072e-05,0.00018681568081463373,5.5657706500067405e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025370467311110145,0.0236767542831835,0.007660354806602987,0.001584435932247441,0.004777165527304783,0.001070146888648038,0.00029353323836289746,1.774859095204917e-05,0.00024398139190906498,1.1618335633567511e-05,1.2945988504542427e-05,6.090998423413652e-07,7.41585355590324e-06,5.026056608681273e-07,4.7399483103838236e-05,7.098950531858605e-07,8.795868584376976e-06,8.252395935492984e-07,4.7635873673179674e-05,4.741125822238512e-05,9.564741850320857e-06,2.172386570631346e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024605569923300763,0.030973043111730547,0.006190524343753556,0.004188145261990073,0.00025816210258278183,0.0006802679956154911,3.191919850187297e-05,0.0001191272926799325,5.910797180375127e-06,1.390251352240135e-05,1.464023980046747e-06,3.627566225183898e-06,6.658398223891027e-07,8.656198992817998e-06,5.550898987127795e-07,4.743170509691197e-07,1.7459382639639642e-06,0.00015574018852415605,5.190815685840455e-06,4.871512723847449e-05,1.3815993585186703e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01106783887428886,0.005176480935957017,0.00107371642875842,3.702498924007536e-05,0.00010795260075879831,1.0127994090725068e-05,3.423670637259235e-05,7.1422336689330734e-06,4.315096415075104e-06,1.4896075928305663e-07,1.4020927281421791e-06,1.4614774870302938e-06,5.316238431918308e-06,4.4987538583285414e-07,5.73507658918615e-07,1.2988122353174703e-06,1.1157852371157517e-05,3.119699569342771e-06,2.441720948320736e-06,3.839198043920078e-07
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.965097088966081,3.19466488974685,0.1336881693298002,0.26344033502038966,0.024264937643414086,0.03378415091811229,0.008744590886253123,0.003779122799091608,0.00015239842945358184,0.001435904518917841,0.00034768131279383496,0.0041519834415465195,0.0001727886365505693,0.0006246281874136006,0.000388919226405271,0.02862777919715717,0.006962137411051422,0.005486068985622705,0.001237753274435649
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5338248964070265,0.025556566786148815,0.0667785043655077,0.03295607252727195,0.020389882326302483,0.01858306020605205,0.002938688855784466,0.00011452777890497146,0.0013236606429543052,0.0004880075298010489,0.002365378499576229,8.79408374345747e-05,0.00036679701947539556,0.00019549520485551142,0.0086350782935527,0.004210073704858638,0.0012666867239708307,0.0003042586040987727
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8651193058912132,2.8485042471431323,0.09907523849700506,0.18495185241829024,0.010605530023572007,0.021893696304492782,0.0014570110958067595,0.014746035936022528,0.0005714234808771312,0.030904849973417498,0.0012523471150984733,0.00345996730266096,0.00040318172090736404,0.19748516102161395,0.05950080199085951,0.02759615648332228,0.0053754987240860475
