 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,H37,H38,N39,H40,C41,N42,H43,H44,N45,H46,H47,C48,O49,O50,H51
N1,0.0,1.6723803552446008,1.9075309667663065,2.9294094658745213,0.09023658627223985,0.216189447541141,0.028074265527088804,0.004933775311112054,0.03301564904247381,0.0007399775782385154,0.001107191261877083,0.005658493605099887,0.0001118702310651809,0.00015079025117981093,0.0017424197132233227,8.534823997352614e-05,0.0003808406456862201,3.2917029080717364e-05,1.1856814680744066e-05,2.6053354340582757e-07,0.00010566711759037173,3.0119113884063964e-06,1.6344864909645374e-05,0.22686112171203937,0.048508926588604576,0.03588961120105004,0.002581623899254981,0.0068530936599782155,0.0005847016228924806,0.0014282352048626268,4.0005198504777795e-05,0.00028136900980402224,0.00017067328015010763,2.662545552956086e-05,8.174661673909789e-05,3.86313913374875e-05,7.74872595643572e-07,6.7140592877601435e-06,5.783531512468243e-06,5.72932499109946e-07,7.564963273587466e-07,4.023342128900431e-07,2.3176093721932745e-07,3.108450619127012e-08,3.3636553462002006e-07,1.3668041920489316e-08,4.3352042844446714e-08,0.0005118622170000309,0.0001363134220954132,0.0001857233648435569,5.580905137103631e-05
H2,0.0,0.0,0.027897455519996228,0.11219062765048071,0.008092420721498517,0.03225785506897694,0.0014337857466786286,0.00041460729397035934,0.004419400694478992,6.391380625081489e-05,1.9838416787987256e-05,0.0012113375688759254,2.8160153646705766e-05,3.0053029621557314e-05,0.00040623137871842463,1.7131203022824337e-05,9.596630517361149e-05,5.965895925719167e-06,1.0927185210007906e-06,7.913013821969628e-08,2.4950388649580546e-05,6.809184565081949e-07,4.965309463589307e-06,0.0064049330934473625,0.0018019005090342821,0.0004084336356114937,3.304389075431402e-05,0.00015230019182843613,1.2522313763030368e-05,2.6191399993047426e-05,9.2536384199704e-07,9.989222041761892e-06,2.4941884345319743e-05,1.8672168846656234e-06,6.858773768736448e-05,4.616311813032681e-06,2.037430160140019e-07,1.2752126987702894e-06,1.822973585419163e-07,1.371705709019011e-07,4.023731714486445e-08,3.245580704192008e-08,4.237697970310705e-09,2.1084309853591776e-09,3.3457649872836726e-08,3.078888255458878e-10,1.5577612533235197e-09,1.506356037439538e-05,3.1224649437167074e-06,4.8947567300450245e-06,1.0917122024167725e-06
H3,0.0,0.0,0.0,0.10457103707707016,0.03514503013146131,0.00715596654577455,0.000262905506188682,0.002915759056906886,0.0009761661753838746,3.7707878318027355e-05,0.0003739194236986876,0.00017712682212212005,1.8262402622815088e-05,1.3871385009744941e-05,2.411574279947981e-05,7.98682515679161e-07,6.7419406241109314e-06,1.3128738374224014e-06,7.664427332798596e-07,6.756507553440372e-08,2.0954148695073727e-06,2.5252395952080064e-08,8.698566844600464e-08,0.019503361593277813,0.044393231191865445,0.003408677625943435,0.0007171866796173987,0.0005065303472985283,7.201039169668633e-05,3.253124858226819e-05,5.739388599934614e-06,2.0267302063281534e-06,3.880497619446199e-05,1.0841502481984122e-05,8.446704464759591e-06,9.060313716835466e-06,8.723866542492686e-07,4.7487871723816966e-07,7.488926303533816e-07,6.288723399805463e-07,4.2704675906612977e-08,1.4029590111874768e-07,1.1555085466241621e-07,2.4349057214934078e-08,6.627920878798932e-09,3.4032665574557086e-10,1.7703229993060177e-09,6.61184902771561e-05,3.2519949908826895e-05,8.663756803972689e-06,1.6512065335039239e-06
C4,0.0,0.0,0.0,0.0,2.074831447076998,2.5738029957478745,0.09327433727395196,0.08071886866487743,0.16156467782012413,0.005862964718217567,0.008917546846137325,0.03287498411402873,0.000757210825349075,0.0008621356692579685,0.006347708705859156,0.00012742567264290017,0.0013269481436638253,0.00013589495071625324,5.703562018477548e-05,2.4733697330248106e-06,0.0003724744964870852,8.572076727553224e-06,6.529869599469773e-05,2.596331890620403,0.2693544545088931,0.22226915387808555,0.01609925136473256,0.03529487075370433,0.005545063536594896,0.003756037012711877,0.00018716462736168005,0.0009051926959331436,0.001275777192884936,0.00045177453473321805,0.0005105315094802165,0.00021868580703723883,4.620328007964858e-06,2.2634339028604344e-05,2.3894489073306158e-05,4.482073127975994e-06,2.0255578333516766e-06,2.4513739838305515e-06,2.1141856445527907e-06,2.1364029290094066e-07,6.988665464391364e-07,1.3539441789944817e-08,7.890003750343766e-08,0.0032038982318739195,0.0005148160553972159,0.0009702293309557797,0.00020042805257347585
H5,0.0,0.0,0.0,0.0,0.0,0.07862227036978608,0.0031187204908589283,0.03350177997858861,0.011395197145629865,0.00014685885516096953,0.00513677411152802,0.0010682490735240968,3.645343004188284e-05,0.00037516610651833204,0.00013216635422486078,2.0953191852690622e-05,4.617992435540508e-05,1.366405450320407e-05,6.015304679030109e-06,5.307824400002659e-07,1.4294298961381458e-05,2.685984019645815e-07,1.4018695204676135e-07,0.09363895854961624,0.02328816481599849,0.01134078501275626,0.008642802153924656,0.0018323277457381604,0.00032924043817428306,6.37333591078093e-05,1.5989135484950623e-05,1.0310716881622994e-05,0.00011306850331416207,3.795017745478191e-05,4.2995470958206994e-05,2.52627495573865e-05,1.4863414399268748e-06,2.1104477521127762e-06,1.9145873069170705e-06,1.0864038286761968e-06,1.0808381967208902e-07,5.381888279476499e-07,4.266127195950986e-07,8.139546081586957e-08,1.027797502661798e-08,2.553649736114494e-09,5.789141610534898e-09,0.00011615120528518652,6.84028318408414e-05,4.568875873800504e-05,9.689807468848954e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9898248712066602,2.056771926416227,2.8004634496072445,0.08361820539093268,0.08129692901120089,0.18652133858878653,0.009081809364089533,0.00873642099258376,0.034326188314069556,0.002043492964324156,0.006123976902081413,0.0005873749407842715,0.00018209465600893537,4.711725612205342e-05,0.0015653495503126363,3.927228629296842e-05,0.0001957643513279539,0.18483845882238129,0.03800153947432812,0.026791019989963402,0.0008323247530801492,0.003371242175926853,0.00023531068830240365,0.000633012517253409,3.1907392477492635e-05,3.9324547636110374e-05,0.0002472420709188905,1.7482925672940297e-05,0.00027312908996068863,3.0399741439285366e-05,9.822086478594727e-07,7.1236738808933e-06,4.4797090363174474e-06,1.1512164097560174e-06,4.327142357762881e-07,4.084123918363103e-07,2.1868601463026494e-07,3.746133048210254e-08,1.186128981423007e-07,4.119283136816421e-09,3.083804500647602e-08,0.0010715183842355536,0.0009175619241379995,0.0003054006537543674,6.758232913395279e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024385617029621054,0.09081692105858208,0.03345443971545503,0.004821369995584579,0.010476979276843101,0.0042582609467429755,0.00020476367419708374,0.0009497244162891549,0.0008159251272492618,0.0001955025290651946,9.988339043909278e-05,2.1912467924156687e-05,5.316923359810488e-06,7.143588710822879e-05,1.617994059621708e-06,1.0083959012252564e-06,0.02887197525798424,0.005335281747938292,0.0034116528672150093,7.217532828707185e-05,0.000727051854443328,9.769475644616499e-05,3.9901304462519604e-05,6.2939574227982575e-06,7.007735889574818e-06,1.0692704299986033e-05,2.4865394783191164e-06,6.418372667127414e-06,1.406242368551247e-06,1.6420423398777473e-07,1.1700153663696256e-06,6.658643969537081e-08,6.704792188116926e-08,2.3938152793334666e-08,3.857535935125611e-08,1.3603254078731197e-09,9.928942112935601e-10,4.118650531736989e-09,3.644284873871584e-11,5.234523925423673e-11,0.000254309112104778,0.00028916766357856005,6.829445267197976e-05,9.398989259556956e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0834379871406552,0.004303490526219367,0.034040294125076365,0.009402160691775574,0.000212780667546264,0.004480570327415112,0.0009912920303660755,0.0002402889817423315,0.00024762766378017,6.753455717067869e-05,1.934406000869693e-05,3.1897183776496973e-06,6.125626724151623e-05,1.6012807624310454e-06,8.721513224285715e-06,0.014203097806571918,0.008272100757622969,0.0018054308663556506,0.00032076991102725216,0.0001434523406507182,3.134228497247982e-05,2.14018660074089e-05,1.7931589668673809e-06,5.7187752802168035e-06,2.1354179102095472e-05,5.244243680424532e-06,5.767075293316992e-06,7.633114203597913e-06,2.7459503870730373e-07,8.195239071806526e-07,3.7928667451225806e-07,2.0067297090697878e-07,5.6881555687837704e-08,1.1256969179029852e-07,6.68548789661827e-08,1.4699576666998837e-08,6.683181674738137e-09,5.152804849473114e-10,1.6601611196875865e-09,3.287703387599983e-05,1.9517930786361326e-05,5.711523655582695e-06,8.630093948358564e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9744188367011257,2.056156850502812,2.693236861884382,0.08436257401230518,0.08145450484413919,0.18813872097237905,0.02166882521092961,0.028814015899860906,0.006910253715105549,0.0030804020682781985,0.00032569961390271907,0.005196348279331783,0.00012105749652413511,0.0005322050405315304,0.013203614986606993,0.0035502414228117674,0.012516141020262578,0.004494160357492061,0.00107773551546117,8.306625465726025e-05,0.0005616061885618945,1.4865400105312787e-05,5.9865948617399134e-05,6.505246528464015e-05,5.184604314978358e-06,2.9287752306927928e-05,1.4511361692476354e-05,3.089373367126669e-07,4.0453261515027705e-06,3.4413480963502163e-06,2.893928120473177e-07,6.213532772747499e-07,6.242885167151435e-08,2.4473885029685505e-08,7.347899622089926e-09,2.657068720463007e-07,5.254522705833153e-09,4.008745047023865e-08,0.0024175426986187964,0.009979473602254804,0.0009392657539675914,7.762499341423812e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023316681883244872,0.08739485109224132,0.03201291295393838,0.005357750821429086,0.008327490577070495,0.007726587475768154,0.0007213537444779039,0.0007776150202287724,0.000605265092932683,0.00010066012850673545,0.0001745790721927598,3.6242432002175917e-06,1.3901828496143409e-05,0.004828888821226673,0.0003265643164979126,0.0125638654240815,0.003586555891430976,0.001005264689677654,0.00010079949858243786,0.0006714118584314477,9.985325840622394e-06,1.3363559755896759e-05,6.211901224295602e-05,3.205009560636185e-06,1.2457708164159698e-05,1.2699378703739939e-05,2.160314942489805e-07,4.531845136268586e-06,2.625038435732918e-06,3.379751418730592e-07,5.544989551964363e-07,5.63964012156859e-08,1.6256637147549213e-08,7.541100632835196e-09,1.988923385987107e-07,3.554075700407111e-09,3.652632085682228e-08,0.005519454469092189,0.029540801477675016,0.002207972635258959,4.479992078310069e-05
