atom_numbers,value
N1,10.56735919508007
H2,1.9318944029207465
H3,1.9243758479483448
C4,9.625025257402674
H5,2.091537833550047
C6,9.620177349054824
H7,2.0672681684314838
H8,2.0705558904509016
C9,9.634855441485557
H10,2.0909966568082976
H11,2.0719572020809647
C12,9.653969317373225
H13,2.0947959534714693
H14,2.0800710340071196
N15,10.379726444899939
H16,1.846954866604424
C17,9.628838361709901
N18,10.447660574454117
H19,1.8693287817959425
H20,1.8684634923457786
N21,10.451823775185593
H22,1.8533139493638071
H23,1.8833682596220807
C24,9.753138890609117
O25,10.948590028216561
N26,10.400559409566325
H27,1.9091289007759782
C28,9.58502317153895
H29,2.045913364965213
C30,9.654721372713412
H31,2.034798223712156
H32,2.064725922962862
C33,9.835837997379505
O34,10.904361685348098
O35,10.924129412612494
C36,9.79471731597222
O37,10.997266561879552
O38,10.89332559871576
H39,1.7973758464680871
