atom_numbers,value
N1,10.536678600163508
H2,1.9261202468309255
H3,1.9167272676881724
C4,9.629106050167296
H5,2.073978424660468
C6,9.611187504394024
H7,2.0489986238532163
H8,2.0747163667312085
C9,9.634027428111192
H10,2.087123565745356
H11,2.0671480532020494
C12,9.647999223456722
H13,2.0471528211940155
H14,2.0533419993193425
N15,10.33008007358893
H16,1.8544600702401146
C17,9.604922100123801
N18,10.397394963446478
H19,1.8584937845731242
H20,1.8580080108255386
N21,10.34321022942049
H22,1.8503544952713908
H23,1.842470604834371
C24,9.678229865247298
O25,10.9393709753847
N26,10.373211537315516
H27,1.8815384279193696
C28,9.577052113234226
H29,2.0468074345956317
C30,9.560735365365002
H31,2.0736966495348903
C32,9.637336894052224
H33,2.1061661828877076
H34,2.066649304457414
C35,9.716073741403507
H36,2.0793961621802026
H37,2.0740224519143613
H38,2.066005961381238
C39,9.720585009430755
H40,2.0753145630198144
H41,2.0955841267692596
H42,2.0661604394763717
C43,9.732612700940164
O44,10.923372517659732
O45,10.921542539071693
H46,1.7517806339298996
