atom_numbers,value
N1,10.521114284973455
H2,1.9014032646367518
H3,1.8954716138944976
C4,9.605282744518838
H5,2.071449849359033
C6,9.623660080761788
H7,2.0684964461031177
H8,2.0515192485101656
C9,9.630098688911803
H10,2.048195957439427
H11,2.071784436575276
C12,9.642627979642446
H13,2.0735527687665756
H14,2.068958125396474
N15,10.32852924208859
H16,1.867147857516401
C17,9.580237957752574
N18,10.307768701418947
H19,1.8461439775097965
H20,1.843420884234154
N21,10.361462497645677
H22,1.848116578094606
H23,1.8484543316660031
C24,9.734780925667364
O25,10.932764842918003
N26,10.400039994055632
H27,1.883230900940918
C28,9.590105657387273
H29,2.0328864808766762
C30,9.596998291518826
H31,2.081029815042951
O32,10.985435492511012
H33,1.7835235557354578
C34,9.697598179553582
H35,2.0550658192165923
H36,2.070016414675352
H37,2.0790122979631516
C38,9.787078216587231
O39,10.921105910529995
O40,10.90442731860364
H41,1.7438874234374768
