atom_numbers,value
N1,10.535636475032396
H2,1.9288251908897789
H3,1.9308515737676033
C4,9.633616735651858
H5,2.0489563715203483
C6,9.621759058087967
H7,2.0374843039314308
H8,2.064236089639566
C9,9.725926882122321
O10,10.91728807266779
N11,10.450335559726573
H12,1.8909460505111364
H13,1.8944745080090064
C14,9.736023845869223
O15,10.95383060917904
N16,10.403100988589374
H17,1.8932431985194222
C18,9.646583789604277
H19,2.035924637899716
H20,2.037248674620143
C21,9.774658202723977
O22,10.931190104212313
O23,10.93298334799213
H24,1.748679285245489
