atom_numbers,value
N1,10.54940459594966
H2,1.9329436711818029
H3,1.9247472167296509
C4,9.614581964863053
H5,2.0694455394706806
C6,9.613573228285688
H7,2.035776083913448
H8,2.0726974734254835
C9,9.757187371333108
O10,10.944126935933035
N11,10.470698943625525
H12,1.8896005416842019
H13,1.8981158082200174
C14,9.717518518100734
O15,10.922515102192884
N16,10.306900650519053
C17,9.571942698297125
H18,2.0454233334743996
C19,9.615742801975975
H20,2.069404211646038
H21,2.072524444084843
C22,9.628284056685406
H23,2.075723968011806
H24,2.0733288439677127
C25,9.629836245988223
H26,2.051499289820052
H27,2.092348084810431
C28,9.751812346689393
O29,10.91656014694722
O30,10.923520502095126
H31,1.7563392109379916
