atom_numbers,value
N1,10.596677624224613
H2,1.9259427334684438
H3,1.923834027763053
C4,9.620082861632156
H5,2.0677285090511766
C6,9.635933856600957
H7,2.057230391565777
H8,2.0273003266886986
C9,9.655617269448783
O10,10.916661087392066
N11,10.399079996002136
H12,1.8802884466530356
H13,1.8767453389531157
C14,9.713952236862882
O15,10.932866219600307
N16,10.390524191323717
H17,1.9001867357937337
C18,9.60829842821696
H19,2.042289310114059
C20,9.606766255823038
H21,2.0696633509330873
O22,10.957117805604037
H23,1.795638662159618
C24,9.727157358330986
H25,2.0738781455845214
H26,2.0799160138226984
H27,2.0826559282896833
C28,9.735711012977482
O29,10.909715703388907
O30,10.925603239441662
H31,1.760926274383424
