 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,C22,H23,H24,H25,C26,H27,H28,H29,C30,O31,O32,H33
N1,0.0,1.7129937203373289,1.7949821462737514,2.9732059227022853,0.08952885000409316,0.2082265441715141,0.02736206479401604,0.004011934828492825,0.031175106781204803,0.005237163485376714,0.005964313724207401,0.0003490623410556948,0.0014407857897728027,0.21769229573839896,0.0561168474041833,0.03346216945842036,0.002517343235402869,0.0071526689803471655,0.00024909780156878725,0.0013502670569778136,7.192210079409733e-05,7.926489583817697e-05,1.9806128909172216e-05,2.4781247528360417e-05,2.8938247157439534e-06,0.00040692248240251083,9.477510861577443e-05,3.815759133107832e-06,1.3114669288660785e-05,0.000619353958824731,0.0001565711921868579,6.27564123681923e-05,8.956517008940068e-06
H2,0.0,0.0,0.027344963130985223,0.10621906239820056,0.03362056159598792,0.005989533789415469,0.0002604696845327492,0.002157040498064866,0.0008588409016457854,0.0007476617262661689,0.0002045476944386726,3.694626419625813e-05,1.140085876061292e-05,0.02626792555204782,0.06843859580667033,0.004489946633584374,0.0003693271326938863,0.000525018713482428,3.693125969506106e-05,0.00010419771531688937,6.113333588686487e-06,2.7252468210114955e-05,6.822995800348508e-06,9.891521680627235e-06,3.603999205736841e-07,1.8457895398671376e-05,3.2451325491233973e-06,4.5509651669384255e-07,5.88807334001018e-07,6.715809560164931e-05,2.0532652988514144e-05,6.7577610377567154e-06,7.902077256982665e-07
H3,0.0,0.0,0.0,0.10998480089513107,0.009519310818740356,0.03070911579341551,0.0014214195853246014,0.00037763997575712693,0.004362036118533474,0.00047524824263933674,0.0013656056745093847,5.242828709794978e-05,0.0003171478416503781,0.005918305880902475,0.002745639085612761,0.00045335108013733194,4.149201919378953e-05,0.0001637078968887984,2.978026553801527e-06,1.3237668696763905e-05,1.6596295659976334e-06,2.6722127625111725e-06,6.107171703906289e-07,4.487971750899433e-06,1.250452581480488e-07,3.979564173528516e-06,1.1831094390846175e-06,2.126561222670631e-07,5.0792085426465405e-08,3.3398857954947125e-05,2.272250647583629e-05,6.818978829925548e-06,1.2739335057965206e-06
C4,0.0,0.0,0.0,0.0,1.9404905894942048,2.505389371920074,0.09117703087429718,0.08105811069891411,0.15982995588299903,0.03907325743413678,0.026739636304418293,0.0021121236073020633,0.0043696649947279065,2.5999698373205216,0.28211846752210384,0.21701889219157128,0.015480326072111916,0.035067797475482554,0.0023944819934204054,0.0041479507636192625,0.0002558257674600828,0.00026378205373062125,2.837088251772535e-05,0.00011011962299067868,1.0701083178465964e-05,0.0014532642603786033,0.00023335027636983696,1.409606949498432e-05,3.6850595779513995e-05,0.004374718696915109,0.0017210170089855398,0.0007099976418965676,9.374891802582663e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08491886148229078,0.0030972378820832702,0.03320709759578366,0.013846269654247179,0.021572504861092523,0.002348291871601904,0.0005186792636597826,5.73948440307781e-05,0.09216940756822001,0.024661285014586865,0.00996134194347087,0.004799515930281162,0.0014816259621068806,4.147087309269715e-05,4.115494519907337e-05,1.8169552238100906e-05,1.226232728757104e-05,1.197387010654083e-06,3.163348388302012e-05,1.2936199578206242e-06,8.933028462720927e-06,1.608879772296845e-06,7.133407453618901e-07,1.9909262971573582e-07,0.0004927173738362711,5.0355732144846677e-05,8.034542062007599e-05,2.192031464454125e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.976010892911338,1.8988630410257423,2.793407875893867,0.28133105682851456,0.23175811819479936,0.0156563680634344,0.042577535663255395,0.1915670177403004,0.03995117773426485,0.028127389641157893,0.0014667584421271807,0.0028318237241741484,0.00047666281116565123,0.00036457596423108973,5.0502337782254436e-05,0.00038845847861107563,1.072751955510931e-05,0.0011660722025812476,4.334690516083484e-06,6.717986225134032e-05,8.095590463108593e-06,3.471477469929596e-06,5.002202578152648e-06,0.0021299386853596836,0.0040059143212434895,0.0005958952061803635,7.42791643649765e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02592032366125152,0.11291448553645744,0.031124705315234813,0.015695335868727844,0.0004669063469340262,0.0004921454008570691,0.027450553709114978,0.004483778564087548,0.005097658201473343,0.00034615741673160727,0.0006755196102969929,9.248104050207928e-05,5.7130440882735556e-05,1.419841467931171e-05,7.161277644407438e-05,4.839729041083984e-06,6.950715402531671e-05,1.0049829730629511e-06,4.2484022313438174e-06,5.951035160212115e-07,6.390615678864009e-07,1.4886234112054808e-07,0.0005889254024031843,0.0006780673635387036,0.00021469996011269643,2.96135625774685e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10631615197135469,0.0281326597233168,0.01170212911868751,0.005866717464972471,0.0005206470735832358,0.015140383308904992,0.0053006290246901955,0.0012503502832906799,4.0992870012690474e-05,0.0001289244623372543,7.627470586468732e-06,3.1981367412781125e-05,1.7050556224695868e-06,0.00014173706024711574,5.695705477704038e-06,0.0001567688828334468,7.099507706165298e-07,4.562750368086732e-06,2.482355219823873e-06,1.327753331725745e-07,1.282106054434351e-06,0.0007186501247140598,0.0037169215856127646,0.00029008919960893387,6.7677238040353416e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.841862245921097,3.4442567874552856,0.13681563829706112,0.14249913824869764,0.011561073617588097,0.004867031669900296,0.021950573188444233,0.03068574113161171,0.0022252045050057123,0.0006486778411847194,0.00046185296641940154,2.6914874003525213e-05,0.0028262648225799436,0.00013663559732024488,0.004834971215591732,1.814523661924916e-05,0.0001441303392321902,5.608935336853804e-06,3.523393860227486e-06,2.847566114660971e-05,0.0024173264124631166,0.012671347010130313,0.0009754689499893443,8.50262792382317e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394646059128331,0.03318788476924839,0.03026415263124771,0.00744047634797812,0.00229663678896478,0.05819395049273826,0.15766883549541932,0.005522394507946185,0.0012928269333590814,0.0011142049189168807,4.151010147079859e-05,0.00897835651182298,0.0002220218673355534,0.02693644446956034,0.00015068372725834944,0.0003022965660717594,1.99840814011365e-05,1.0497135802478574e-05,5.913775200938609e-05,0.0003708309509074248,0.0017738132723438826,0.00021212715217466815,4.85368990816859e-05
