 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,O22,O23,C24,O25,O26,H27
N1,0.0,1.9764769334280192,1.690986051605452,2.841054676462878,0.09705459017200324,0.1827953767379334,0.026310872503160443,0.005118608967388472,0.027460394365649843,0.007240048793197465,0.007219566095399338,0.2016454912445746,0.07954749594624724,0.030481621380498883,0.0021602870199332047,0.007163983165495907,0.0006241570601497326,0.0006656330057237259,4.293280162870339e-05,2.118191353472909e-05,0.00021007385686908076,0.00010912140238880652,9.702184868297381e-05,0.000931221800654386,0.00031621946286761876,0.00012481921712305388,2.2470247932449006e-05
H2,0.0,0.0,0.028108512815249842,0.10017261073228212,0.002996026695065268,0.028493633238614313,0.0019444940840447344,0.00010042773209040234,0.004224772644596642,0.0014731562581762336,0.0007374920486725722,0.03867332957499947,0.12575785269921635,0.0068058020506567285,0.00021907869416226688,0.0009545819045490012,0.00010951508140877309,8.537690119780894e-05,3.7177856706538392e-06,2.790916635753149e-05,2.532474555927422e-05,7.695198098067735e-06,1.2213021549745129e-05,0.00011051585836330258,4.310629778214725e-05,8.024889871061092e-06,1.9990603175035204e-06
H3,0.0,0.0,0.0,0.09815191485390429,0.033595338373100914,0.027681992672556888,0.0069534702728029085,0.004037212567556736,0.0028641740942646488,0.000814798113414783,0.0021175532218646875,0.005810082345079626,0.004679164697420357,0.000813907676195269,0.00017048414355747,0.0002585880481014158,8.612216387371419e-06,2.595959913498369e-05,8.432448179718222e-07,3.321632127128993e-07,4.520397321461367e-06,2.454564922094171e-06,1.6820929075178626e-06,4.103090253582131e-05,1.3195666057952415e-05,5.0072680441992645e-06,9.550908115496526e-07
C4,0.0,0.0,0.0,0.0,1.9512567017966895,2.772041419124785,0.08882127765009784,0.0809572137551402,0.14469257528341536,0.04224500780488201,0.045467006046434624,2.4276097942846593,0.2709158155199245,0.21740497777236492,0.014852432395026205,0.03717973555947507,0.005738667622549487,0.003287672776865175,9.176016047796054e-05,6.947493658682191e-05,0.0011334268516417778,0.0005151244622886297,0.0004923361660050113,0.004315295882142606,0.0013331538954337308,0.0005863261877027404,8.171273878776475e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08074964530846207,0.0015936892351415821,0.03004902525750275,0.018037147751110538,0.003439831462556109,0.01957764934890016,0.101362016212732,0.025556758779781474,0.01353039259944544,0.0016607384125570945,0.0012775272126221981,2.966504092527522e-05,0.00049042803566679,2.539280524382903e-05,2.7670350557507106e-06,9.164922267945741e-05,4.156098814034337e-05,5.2249437904494656e-05,0.00044149066238063917,9.075030412408758e-05,5.848009135944743e-05,1.6140709726997216e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0792366988245714,2.024740421761468,2.5960155394077717,0.31955203562969015,0.27969883624138947,0.16340488668934228,0.03386872976585846,0.02667110692981975,0.0047229583499383,0.0029123831330583883,0.00045620396594658885,0.000917947474327066,1.960680765078493e-05,9.497364215294013e-06,0.00017072875672352605,5.3766707624289256e-05,0.0001198937100473016,0.0006380055859328826,0.00013020070644755022,0.00010532282066015586,1.987096792166465e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02422962761051628,0.08584666876901403,0.021230249371250842,0.024395813720324733,0.02475169853878234,0.003818319467361553,0.004909884294212796,0.0005010906807592086,0.0005244557238204273,0.00017110563809641377,0.00015769886445293757,3.815464203027474e-06,7.739682787999413e-07,1.58113776760338e-05,1.325811231356333e-05,1.3807113452779518e-05,0.00022583695209998922,6.04677638074147e-05,3.338252795148655e-05,7.972322912497276e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08177222238644166,0.02092449379055994,0.017399496035173434,0.016767316500196472,0.0022881239978045365,0.004288707490600396,0.00023932365512524534,0.00034558099236936535,5.103026348862727e-05,0.00016969980365288961,4.46950607324581e-06,1.3853475844260998e-06,4.35640572924445e-05,1.8252799057538738e-05,2.587875336179657e-05,0.00012534338579106574,2.0296783581619238e-05,3.072248041147141e-05,5.528892638828609e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.818136403997441,4.428054895828458,0.006955600735434664,0.002356133211590311,0.016200906786003166,0.040523202002449965,0.002091690008327013,0.0004553109663532062,0.00012984296080767455,2.275451131961148e-06,4.28043251126109e-05,2.6199841240193145e-05,3.735694336454154e-05,8.65499827304439e-06,9.590894547537032e-05,5.011730018561478e-05,1.8471558657390252e-05,1.5743863412964743e-06
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.584249243637526,0.0035593734520706355,0.0012948549200505338,0.007050935191034544,0.011632067825660286,0.0007022234942135885,0.00015455324251767433,5.553090749804701e-05,1.5916726849862783e-06,1.9118246713523135e-05,1.0172665576541062e-05,9.45833204880897e-06,2.1380673265389283e-06,6.775470530151484e-05,4.0728284165590656e-05,1.2296650581777868e-05,2.643868589058407e-06
