 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,H18,C19,O20,O21,H22
N1,0.0,1.9783557780794703,1.9961552642600942,3.030279273266105,0.09725465674797151,0.1837028121298761,0.025597239593244003,0.0055111453724308035,0.029186001053006783,0.007670529455123115,0.0058627482206599565,0.21295567329572607,0.06155283772664372,0.03361222029787872,0.0021220918458820792,0.007694400246347308,0.0006186833836815397,0.0006108067389911653,0.0006411985645582985,6.208900709990528e-05,0.0002820217706905881,0.0001054557978105164
H2,0.0,0.0,0.027414139000831117,0.1019732331949661,0.0028138538231097243,0.030299159083003735,0.001972256545680562,0.00011176670930912458,0.0048826717664617325,0.0016922252798292625,0.0007405644617703988,0.031336799060698195,0.080827820876188,0.005129429145198872,0.00018237825094535864,0.0008756780429649558,5.598972992859608e-05,0.00011772232188933529,5.029505326425987e-05,1.62442640048166e-05,1.403838336466734e-05,4.27743814923609e-06
H3,0.0,0.0,0.0,0.10129531273210446,0.035385824854319736,0.024640041698191895,0.004079877035845669,0.00537363003406055,0.0025342429431031155,0.0008042077289379668,0.0017081061869257397,0.00566328605990718,0.005500614359488565,0.0009081128337048439,0.0001884383250365662,0.000273945426927269,1.0803862183328405e-05,1.1577072839719094e-05,4.2669264483818914e-05,3.237844841907922e-06,7.794243530034883e-06,1.4683085238775817e-06
C4,0.0,0.0,0.0,0.0,1.8674940592882727,2.7227771550776136,0.09382537917468303,0.08142773730111541,0.14029367601135379,0.04298005332644271,0.033250752091544364,2.6421993730170974,0.2740295333833746,0.22809483293736293,0.01511902539890908,0.039331407090889725,0.001671009193269013,0.005753517013918241,0.003854060518578034,0.00040481867684837025,0.0011677400925325654,0.00028152264114444936
H5,0.0,0.0,0.0,0.0,0.0,0.07822817866904341,0.0019123941325041027,0.0318606403489865,0.013635249736134725,0.002604151208195793,0.010700199607548977,0.10255669875709295,0.026866116500292136,0.013047433786681495,0.00164046873644641,0.0016515773986548465,0.00021353558535608386,0.0001941923434136683,0.0006332561020792049,0.00012692611776710105,9.207765503793652e-05,2.313929704800266e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8701922619315292,1.9497829736897323,2.6602273627795037,0.32229085405569813,0.2686260569663848,0.1724984762942889,0.03604249157011209,0.029130751367491853,0.006946794922898958,0.0035140012187993563,0.00038728570652046823,0.00028338289308660336,0.001223113524265379,0.00010928858795745955,0.00019396777518504438,4.283581807662529e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02452829941538437,0.08944799585298235,0.021989154059128824,0.02159278661455033,0.027036749434059537,0.004094022561351718,0.005365823749915677,0.0005499720769890359,0.0006997986844183846,0.00010536108139502787,7.374859267494926e-05,0.00022383391221492133,2.065960360353447e-05,1.8664367085308164e-05,1.8567847241968138e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08263517875697857,0.02225137607464167,0.015891803742801858,0.015390316594979359,0.001983706151704734,0.002964589624544267,0.0002354699522946202,0.0002727602052325917,2.1197364872049818e-05,4.4171558287731116e-05,0.00010626632304755468,2.027361019463214e-05,1.5195655959532317e-05,6.11579654430372e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.922024644554646,4.130066348324006,0.006987616541556746,0.0025322520532332637,0.023373476655980635,0.05232799120156084,0.0030841172244476522,0.0002902019691393143,0.00047881619497758265,0.00022717165512328719,2.7134211488449855e-05,7.105095280615648e-05,1.6802707586638377e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5787687594228683,0.004027801802269609,0.0014852293503509612,0.009179386444021442,0.01217078910913938,0.001084370307592758,0.00020586028441715865,0.00014600413123910805,7.542880932662199e-05,1.743658461034192e-05,2.3421069312593024e-05,6.5640952472412195e-06
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015659740678593756,0.004116396242262822,0.195774088772644,0.44572208069188446,0.018570197553858275,0.0016129765243878547,0.003158051047326027,0.0009234978696440604,0.00020088288326117892,0.00035220273397560536,0.00010498555450177971
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.842267760913315,3.7369189530560343,0.13430981530373498,0.3100194123710432,0.027429356473009925,0.030165574629603897,0.04112380345175187,0.005711179969763169,0.00788789528815037,0.0014138640883881726
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5440859367663722,0.018356951689213363,0.08370968113264515,0.005225912186136661,0.054322657016015796,0.01408549508816953,0.0023576101591772924,0.0023495874826727353,0.00047275785404865545
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5906107150274205,2.9868355090052003,0.10174678229100542,0.10291298279881367,0.20775821095641692,0.026225570386735564,0.0323643379798762,0.005079112427331944
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09167775534281408,0.006061634283947681,0.02015634128284982,0.003999041843645412,0.0007475767610188866,0.0009584396571875597,0.00012280339455705835
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6572751880250927,1.7020415980782988,2.798502083867558,0.2745421909485589,0.2284215661420358,0.055960836756632326
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02835163657449291,0.11809391802199576,0.033728782591455175,0.012093129373695999,0.0006076480700258902
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12124660440780088,0.03574399841997944,0.011328918822387846,0.00018926996422408138
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.896564003456938,3.3953625028746384,0.16706545592646427
