 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,H22,H23,S24,C25,H26,H27,H28,C29,O30,O31,H32
N1,0.0,1.737493351746593,1.8744346520203048,2.9500933956844526,0.09498389300409393,0.18000773509532098,0.02612926125839432,0.005174361074393841,0.029446341004255028,0.006189403230417945,0.006741022430895988,0.21555796421816484,0.06690620155127637,0.035924125553088396,0.0020533401082607483,0.007592226038829475,0.00029394902213730756,0.0010967909905880563,4.075664147895619e-05,0.0002623354004948064,0.00010445958934331145,2.481794803332882e-06,5.1008328433965744e-05,2.5862876415441716e-05,4.09682193283703e-05,7.4147771460642e-05,6.537850258947486e-07,7.327808960733151e-07,0.0008881315430292747,0.0001745665377918676,0.00018843042575653057,4.192288996685001e-05
H2,0.0,0.0,0.02791808204779933,0.1041448657518288,0.0031991847753649605,0.030654099245987387,0.0020253521398796437,0.00011980724739601989,0.004804957934640863,0.0009262084127071857,0.0014172347678879094,0.03330104831507319,0.09789644770550232,0.00550288692862444,0.00024648180091091376,0.0006415949266465049,3.627067833877895e-05,0.00010558235525082171,1.5560926862612234e-05,1.3482403268261223e-05,2.1214310323092178e-05,3.635400367407726e-07,1.4317163085753037e-05,7.006155199329456e-06,1.4082652075253499e-05,1.9042135905422697e-05,2.177051459106849e-07,1.654025405528614e-08,0.00010088790493112398,5.531972907135696e-05,1.109446010905124e-05,8.949054994822347e-07
H3,0.0,0.0,0.0,0.09624246834346517,0.03575290138232323,0.022091891368782424,0.0039967238118698845,0.0044981589359816,0.002384469257920463,0.0012613720827246988,0.000760556797384293,0.006150845629042445,0.0032157789093241185,0.000648818138180296,0.00011177530079642395,0.0002122129508801418,2.650823529792845e-05,1.4943999842031985e-05,1.702592772989675e-06,3.4044762406981732e-06,4.66378913244192e-06,9.325572136731353e-08,7.580043670518677e-07,2.8919750575395753e-06,2.09800479246125e-05,2.6297892318671856e-05,1.364948747362149e-07,2.1221115975578186e-07,3.428927959303607e-05,3.7531928728240516e-06,4.742667128465605e-06,1.3341707694181082e-07
C4,0.0,0.0,0.0,0.0,1.911158591039676,2.7221493482943253,0.09666514945047378,0.08138434318591714,0.14556026102167505,0.02846790401604371,0.040712758007172806,2.544918862958859,0.276685212443474,0.22970570032975007,0.012341727455198015,0.03764645292665755,0.0021022496424238923,0.003585211631450244,0.0001861510507830122,0.0013725561367510242,0.00030423903018901577,6.697288764012654e-06,0.00015383064138974056,7.108750246864748e-05,0.00010142064655724314,0.0001739994490039809,1.984451263092879e-06,3.2027644267795807e-06,0.005594341470238823,0.0010418094600183198,0.0009567214437944394,9.897690862348263e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07613436830854425,0.0018460771134967136,0.030954852260040466,0.013827589507082516,0.004431356569704725,0.002335273511798408,0.10695194166210276,0.02516296091108361,0.01699936036385985,0.0006914399806319249,0.0015988013645673593,0.0003084222453959562,0.0001560362873680443,3.246397557155056e-05,1.186868867741886e-05,5.154321884226487e-05,2.023410360152411e-06,4.5184148011134795e-05,3.128097222793169e-05,2.8424384928227298e-05,3.41947549180599e-05,3.7801848118412806e-07,3.083682935667298e-07,0.0008620095696945107,0.00010100148588609859,7.138309851140168e-05,5.50443069169404e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.083912022235351,2.052165956838097,2.6539812282374085,0.26191804739994884,0.30698234376879635,0.15716957012385743,0.03551624738479646,0.02563929555805934,0.01041660585901627,0.00314587741013192,0.0009832501201800792,0.00035020962864233673,4.0307208658107996e-05,4.742900297705077e-05,0.0003535028114083488,1.2586513105761199e-05,0.0006496725346896159,0.00030225719443982557,0.0030431195283623508,0.006844214043715824,7.685446616223501e-06,1.3346453884066634e-05,0.0005565934785259907,0.00018803794944308172,9.44489630836931e-05,8.769909632500017e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02532994261551691,0.092167387693046,0.020684263861894925,0.023826967350263795,0.02557328022783123,0.004059248137394333,0.003354487662185157,0.0008069538111168395,0.0003496285230344398,0.0002608272317790039,3.762654004235699e-05,6.892659037749382e-06,1.5205979822408011e-05,3.298029885445697e-05,7.683449594342306e-07,5.157359078533652e-05,2.7642966923258072e-05,0.00021458606575819328,0.00023908716185450096,2.772946006146526e-06,1.4376861872111846e-06,0.0001641521229782672,4.25504519245834e-05,2.2719365638801392e-05,3.194384394777927e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08399988443835738,0.012728816494442796,0.02711889652963262,0.014038830245787004,0.0019418292406294668,0.0062787035862770235,0.00133240016269065,0.0004618377150780173,0.0002711930288865627,5.937701584834976e-05,1.8708416533286254e-05,2.0946686737799425e-05,1.854213152574502e-05,5.634408148935677e-07,2.536245046513841e-05,6.172359866329913e-06,1.2035869708104663e-05,1.0057683034858655e-05,5.990229898777955e-07,7.165492719174438e-07,0.00017388884792524095,0.00020770325263796963,4.59069161820036e-05,4.230518995118615e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35416086902945,4.306024106876498,0.006641630398940945,0.002236984039401285,0.021786979535057094,0.050797697516459905,0.003429800328623611,0.0002762632476194238,0.0007411240358891347,0.00026082236284041826,8.876684155012526e-05,0.003580201978848563,0.00011761803444976238,0.005070984180240323,0.00107997801465895,0.006182059270182116,0.012002642417662468,6.74149064479046e-05,0.00013581848354937698,0.0003359282334562952,2.8358282608054175e-05,0.00013756394772967973,5.237886441478157e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5715383225372209,0.015642655039556003,0.004349752139776328,0.19255659166182365,0.4140554290418266,0.019127607739866437,0.0015503762432255153,0.004579163760291813,0.0017609179552918741,0.00035518683349944347,0.018841076505717605,0.0004750493526611832,0.04417846232628875,0.005416818734135659,0.04193713771301057,0.11239454673541693,0.0004990295885540785,0.0005678809247751104,0.002406103232188095,0.00023612519756874284,0.0008517815468010587,0.000379721748122952
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003852764099051928,0.0012868836569384645,0.00761719737726245,0.010259050481958298,0.0009662530637833538,9.929029575661552e-05,0.00048408996416521993,0.00025531790657373765,7.055846531123233e-05,0.0016639522573252893,4.2049294915136315e-05,0.002914740863628751,0.0002686379276433046,0.0011073090617691773,0.001540873047462643,2.5771725982837168e-05,6.82183659987956e-05,0.00021591032290067813,2.7828139939553576e-05,6.146351839792646e-05,2.9055638141484152e-05
