atom_numbers,value
N1,10.585405641922934
H2,1.9456964192175672
H3,1.9593747559947867
C4,9.608256417324318
H5,2.048658866658303
C6,9.670228247472728
H7,2.087472197274558
H8,2.121088267884573
C9,10.017986959658481
O10,10.97632104498571
O11,11.007208560863049
C12,9.709084309525812
O13,10.951519303305679
N14,10.327694345906444
C15,9.589948643375784
H16,2.049950663387464
C17,9.623075735409564
H18,2.0959359983762864
H19,2.0693600691241665
C20,9.636739783981634
H21,2.0919492298378533
H22,2.0885600420286035
C23,9.640010198637512
H24,2.102443002243085
H25,2.029340158190679
C26,9.755945137934955
O27,10.933452779507013
O28,10.9449112575279
H29,1.7843720471174362
