atom_numbers,value
N1,10.543031148638867
H2,1.9494740886323396
H3,1.9536481078536756
C4,9.623901740929362
H5,2.074690412912835
C6,9.66920164173998
H7,2.080218454752097
H8,2.094677143902972
C9,9.958300736914383
O10,10.999724315036568
O11,10.951845928200314
C12,9.742113189591208
O13,10.980770322875706
N14,10.402379228231629
H15,1.8497011708127356
C16,9.613222015161591
H17,2.0450911958151954
C18,9.62190919606727
H19,2.067380962059949
H20,2.071039519992446
C21,9.472516202736903
C22,9.542363641565109
H23,2.044554423480044
C24,9.423033603733963
N25,10.32802958430784
H26,1.891981881097869
C27,9.462953255027426
C28,9.488162651474047
H29,2.082953000654514
C30,9.52986808352198
H31,2.0959445161435895
C32,9.52297867472603
H33,2.096547382992156
C34,9.516677034195622
H35,2.0970389833228023
C36,9.745751779713997
O37,10.917881028318591
O38,10.893651456034696
H39,1.7736739357403153
