 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,O24,N25,H26,H27,C28,O29,O30,H31
N1,0.0,2.00904743339429,1.7980785810778184,2.835689614951069,0.09672217570112207,0.18355224682981292,0.02545909740019281,0.01796865344590748,0.04072128433434868,0.0007823312738997057,0.2296629145877619,0.045358647705858166,0.03481857760962975,0.0019589245881204143,0.007520517678502939,0.0003470709991453269,0.0013942445019204108,5.965302664001637e-05,0.0003110932039119829,7.053975431592363e-05,1.3050952731186172e-05,5.6188258794609425e-06,3.0421864705421076e-06,1.7868201738630018e-06,3.3120740317166275e-06,1.098515008068901e-06,2.445757660840542e-07,0.00047689882481380397,9.345035336017632e-05,0.0001384369419151904,4.077834639604205e-05
H2,0.0,0.0,0.028093350073908452,0.1071949970189,0.03634320414430681,0.015091780783634268,0.0011444283851800297,0.0005062444352963436,0.054845926800942246,0.0002603509750280786,0.007140855416639669,0.006464046200088114,0.0010109515057324936,0.00018489557891698816,0.00023323755458182216,1.0033372482176617e-05,3.516032553707582e-05,1.1528708385721842e-06,5.959348222228655e-06,3.59943937244811e-06,1.033673495021148e-06,6.061979074267754e-08,2.8871293900056827e-07,7.038373095458184e-08,8.137599039059751e-08,3.2826286133769145e-08,2.1603254740654165e-08,3.8589030247893064e-05,2.23216337328358e-05,5.875489424322922e-06,8.534694961870315e-07
H3,0.0,0.0,0.0,0.11188655873559794,0.003564847118547876,0.035635122157914756,0.002676583875651062,0.001189556594376917,0.0018224197439696832,3.933090413132945e-05,0.01856726270693987,0.04033484567687706,0.003218844227780071,2.8303476419022644e-05,0.00047602783071942767,4.110454194861113e-05,5.515572195713414e-05,1.5159695502253712e-05,6.09953564456589e-06,5.043638898971636e-06,2.1264649052721296e-06,4.2723809401401525e-07,4.722102908694126e-07,1.3324326186836544e-07,9.78148779751109e-07,3.517013200671215e-07,4.473437620333698e-09,4.349078827081687e-05,1.293964697435257e-05,1.0024464013658196e-05,1.184915914498319e-06
C4,0.0,0.0,0.0,0.0,2.0284547102613066,2.6346056587195785,0.08694040939392034,0.09425492537373459,0.17994400556647733,0.004054436330013456,2.65212737515028,0.28288867030210946,0.20746300108187551,0.009827808565815,0.03401888412694129,0.004810424750455566,0.004241571855710863,0.00025803215922026723,0.0013424853488170907,0.00024148022181284812,8.169694347825995e-05,1.993090596608127e-05,1.366059035901035e-05,8.119323172406379e-06,2.2404142604459665e-05,5.900044754314493e-06,8.7681178939647e-07,0.003144343421539353,0.0006089803846056341,0.0007737269116740303,0.00014330159431041878
H5,0.0,0.0,0.0,0.0,0.0,0.08963223471106285,0.005553471324193149,0.004339381184696789,0.04294495654492869,7.461428496813305e-05,0.10988884650933883,0.030711860647743006,0.010993586254310905,0.0004922186919140703,0.0014418854579016926,3.5265795493177876e-05,0.0001950954185672149,1.3968016403742567e-05,9.786991951976631e-06,4.095716765906143e-05,2.4977356424704666e-05,1.6656969732409266e-06,2.6467394844686964e-06,5.514100177572701e-07,3.084512575801668e-06,9.83486817318635e-07,2.2417414724529294e-07,0.0007429720958662678,5.376662520983899e-05,0.00010143119668371003,2.2520934525704916e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.689882422820189,2.011925593359009,2.9081321991888975,0.05144010035558311,0.16955599555455578,0.039545807804025376,0.02954241780816831,0.02180284300073676,0.0036514780062494034,0.0011183644639395363,0.0004315792388355638,6.0707660749059755e-05,5.511514901379577e-05,3.764302558534327e-05,1.3816330260651988e-05,1.7610121623157227e-06,8.254516125044686e-06,1.541208574498687e-06,2.5563002766501586e-05,7.556800427854782e-06,3.441508229506951e-07,0.0008628705134281767,0.0015582641130732142,0.00016517649788502786,3.3749626670909194e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027007336324987863,0.08874738552906924,0.0055431626480080265,0.0038271509731602205,0.0005009273617813115,0.007027436161455292,0.019152175218045464,0.0010534197432905401,0.00035494483213560635,3.5730642709230764e-05,2.0922492560471184e-05,4.4500744105224754e-06,2.2518509145141863e-06,5.101071571811389e-07,1.9749355995024587e-07,1.5357808331728506e-06,1.7249358763571365e-07,8.906401371300277e-06,3.3049364478454635e-06,2.6566969779651117e-07,4.2714614143068985e-05,0.00010643749142058567,2.2885808609207636e-05,1.9855666284485096e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09239277927328915,0.023971468259968542,0.02931387558668974,0.004282179651117435,0.004301077930082053,0.0011233438975852827,0.0004291383863159748,0.0004041857921130987,2.88147005513828e-05,7.105759288306146e-06,2.9138664756622745e-06,4.5612264774064215e-06,1.5213589492635293e-06,2.2691300927135671e-07,1.8053178059140862e-06,3.198065474663281e-07,6.423752875073241e-06,2.6008775089181313e-06,7.210369767918223e-08,0.0002452676080011429,0.0004897894799167357,3.4194227700568014e-05,6.059981038752937e-06
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.084589337451299,0.02773210218148786,0.0053620341146809955,0.007557187337336541,0.0015230171755017397,0.0009032612237176996,0.00011314987530719467,0.00027748990382208544,1.2253898415415243e-05,9.989000530286063e-06,5.430514473062781e-05,2.2731794998454014e-05,4.024546158110098e-06,3.3052737710703717e-06,1.0732686126571633e-06,4.257601913304487e-06,6.441647917965199e-06,1.410264937051764e-07,0.005802559696714588,0.03298972630088155,0.0024109394765599104,0.00022758166024294813
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005110630853651044,0.0006632986298877874,0.003557834037583474,0.00019833340463537574,0.00038431029708596576,5.171806486115038e-05,0.00017972507557351136,1.2991645419457853e-06,1.5242413691218815e-06,2.660939113208194e-05,3.7895646427532625e-06,3.558129872516247e-06,2.2029452277916306e-06,4.920537119978974e-07,1.6239649038851667e-06,3.2343284468439037e-06,9.492469033034467e-08,0.007468260728168863,0.06471599345230117,0.002890599186966325,5.4284794612113885e-05
