atom_numbers,value
N1,10.549728072862255
H2,1.9174783239429285
H3,1.9217011157359294
C4,9.644564447041105
H5,2.0546283132561736
C6,9.754352963793048
H7,2.0430780521990974
H8,2.0660935032668233
S9,11.04735881918189
H10,2.1080598671633464
C11,9.698925927508649
O12,10.953618790170976
N13,10.32823787633351
H14,1.8682185170623864
C15,9.58399271733433
H16,2.039925246250916
C17,9.556706217888813
H18,2.0839851863392695
C19,9.63656730503891
H20,2.089519562201937
H21,2.0922144606321424
C22,9.71695752714765
H23,2.0862364453478723
H24,2.0832995560241807
H25,2.082564055483348
C26,9.734458040854806
H27,2.072671709630691
H28,2.087268023884417
H29,2.095296154546368
C30,9.777721808627586
O31,10.913491310799863
O32,10.91432461894331
H33,1.7626533007450123
