 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,N29,H30,H31,H32,C33,O34,O35,H36
N1,0.0,1.9145728636919648,1.8959446560206592,2.7981410515447047,0.09997118235343372,0.18470279548532711,0.025278804278213052,0.012455436171346923,0.049715577421830234,0.0009809260700686107,0.23598246161235056,0.039205894654782206,0.03607902119234278,0.002296941331592528,0.0075482175539442475,0.000406249416408655,0.0006260789880218748,0.00014545814716271366,9.142100424930355e-05,6.840941972569015e-05,3.330077436625167e-05,3.438864039861933e-06,1.2795688459021903e-05,2.98177906132846e-06,7.68229338921067e-07,1.9094098141214655e-06,5.212253325614924e-07,1.8139456592347614e-07,2.970428188836527e-07,2.0804732026036277e-07,1.5016289212077538e-08,3.1268834188580286e-08,0.0013204145927629696,0.0001064523277536783,0.0004106984342725356,0.00012305939929535548
H2,0.0,0.0,0.028209985834129814,0.11157283832003051,0.0034440501131343115,0.03605064284754245,0.002502249779119614,0.0008179235416230224,0.0020534450415401473,6.360162306240369e-05,0.014180223117900903,0.014103960141082728,0.0016024216926334711,6.073423517549692e-05,0.0003115560471991241,8.373611868561781e-06,1.8178824491066337e-05,1.745768221983468e-06,1.3685371074156905e-06,5.262647352677341e-06,1.0686697837769543e-06,1.651006149572254e-07,1.099027210238468e-06,2.0258831190389515e-07,2.0433631142680042e-07,1.058067690129505e-07,3.655597047291792e-08,4.754266313966582e-09,1.9549402208163258e-08,1.1393597398878796e-08,1.6318191242703506e-09,5.093201416173088e-09,4.7830974899354395e-05,1.2158241680326753e-05,1.2579455468397782e-05,3.95307322320626e-06
H3,0.0,0.0,0.0,0.11118792011151946,0.0360532896027741,0.015486697329592292,0.0011849568639050734,0.0003316214243225257,0.06817796035468582,0.00014543116128118427,0.006587267449008838,0.010501490034088401,0.0013541534448546777,0.0006793409070828815,0.0002680131212210446,1.8607281731197745e-05,3.783167863224968e-05,8.887491051989826e-07,1.2722337488835223e-05,5.724682399899095e-06,1.143427706740141e-06,1.6721319531232126e-06,5.694061527838912e-07,4.6950074050755575e-08,9.308098536386922e-08,1.4894988564773115e-07,3.3076437588874796e-08,1.8842825966203236e-08,2.505454788082062e-08,3.7175176270665133e-09,2.043921476513333e-09,1.0103018421858678e-09,1.575585772861654e-05,9.958647167795931e-06,3.968144085209069e-06,1.3562961131974305e-06
C4,0.0,0.0,0.0,0.0,1.9880179146582875,2.6890579026845347,0.08920981029320241,0.09240831193067334,0.17840323092684213,0.004938895243732588,2.630760575299289,0.2674546088942158,0.2208270406530159,0.01280520413347408,0.03462767169322145,0.0026390054736632473,0.003716654378561557,0.0007352276075764941,0.002130176737174194,0.0003463748633087682,0.00013791278494679204,2.6708964882882213e-05,5.463591506521537e-05,1.0998611073453901e-05,2.5960453671203254e-06,1.0622270280535862e-05,1.2729053801008305e-06,4.3160270946085433e-07,2.2776744587754694e-06,5.21970824118867e-07,7.40529692011549e-08,3.286076603048471e-07,0.004411842715683761,0.0005075634449379501,0.001264005131311613,0.00024169383005612222
H5,0.0,0.0,0.0,0.0,0.0,0.08987938950310026,0.004291164002111714,0.006013870557997736,0.03989609823870133,7.633421348152147e-05,0.10166737662842529,0.02832464607303975,0.012099189790016118,0.004728953530993563,0.0016491620671619245,0.00041626970047747847,0.0002621829445984547,1.8622081902730514e-05,0.00013584716200432112,4.1569651057060675e-05,3.091148410883093e-05,8.459184568376799e-07,6.740990287745774e-06,8.020319477441973e-07,2.2664853904785787e-07,1.875150221319899e-06,4.513786333593117e-07,1.745964994803728e-08,3.402988081324665e-07,6.151441311885719e-08,6.645751060574412e-09,1.850299047312376e-08,5.078922240353556e-05,5.968355770835654e-05,2.7808481615210212e-05,5.743944858860317e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.774806203641872,1.9947444816176207,2.8187613009546357,0.053043990486024706,0.17967667132762796,0.0399928062459889,0.029746576149674783,0.00577155405735752,0.003040477270315284,0.00040033808788197955,0.0011684345369873533,0.00012139056241644575,0.00014627041403891816,0.00012315782646589446,7.636696486446048e-05,7.597848434848231e-06,2.2711928319901764e-05,5.553337583563689e-06,7.864506879062816e-07,7.584796424750517e-06,3.885980408568912e-07,8.90983368195819e-08,1.549164406200454e-06,9.537540646142872e-08,4.027232969328054e-08,2.3126523618355321e-07,0.00037371946505340703,0.0001376326167820685,0.00012909423208351534,2.00543213816351e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027085957983418618,0.0881477212508397,0.00448965502378762,0.007108207728883098,0.001323900778242404,0.007277806655492269,0.0055124259118133345,0.0005145003364397382,2.5483885031984954e-05,0.0003618060751660046,4.712440009524421e-05,5.753321729695671e-06,2.419269432407667e-05,1.5598596676769105e-05,1.2932198569792774e-06,4.377410460110198e-06,1.474443680038462e-06,1.3837038936870272e-07,1.0827984515682232e-06,8.915350369065322e-08,2.2086641626728465e-08,1.5571138356484937e-07,2.870002102639546e-08,5.511158862603338e-09,2.18990809930375e-08,6.144759917647846e-05,0.00011142754497606155,1.3167233957944724e-05,1.2225589072212273e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08922665564308441,0.026581080158477377,0.02871027739680776,0.004315053982163586,0.003895093294061014,0.0005483708710622981,0.0005747521450538695,6.0843547019517885e-05,0.00012504561268589232,3.3843876490191604e-06,2.5950054638679276e-05,2.050930846297927e-05,7.988599759256587e-06,3.6690047149345872e-06,4.2288695903947016e-06,1.1927248899645804e-06,1.3176347724019877e-07,1.4297363669646401e-06,3.93952865884728e-08,1.7046279499055572e-08,2.8334811819075156e-07,6.134088348375144e-09,1.2957354744713712e-08,5.968607386108715e-08,0.00011721553480215086,1.0360293350109018e-05,3.385742081807308e-05,5.9945919381743096e-06
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.042529370167059,0.027034343659699603,0.012978895554440175,0.0033531757554033023,0.00131963619397657,0.0005021619007597317,0.00022360483129080233,0.0001641454644556034,2.053362723031249e-05,3.852173795571012e-05,2.487588747833447e-05,2.3199741442603283e-05,1.4117189510720607e-06,5.2480878163230216e-06,6.136566711445468e-07,1.8067861962123288e-07,1.154051000137879e-06,7.086066333705787e-08,2.7465814844696013e-08,3.390599888977719e-07,2.1588286491791564e-08,7.809941138248178e-09,6.885025283231982e-08,4.118158592791854e-05,3.071597516850731e-05,1.3565049095769222e-05,1.5347318276237587e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077830891125718615,0.004934962541772503,0.00021337228019580046,2.9630834193605793e-05,9.376517944414964e-05,0.00019040088140309663,2.3972009297823504e-05,2.3390993297844886e-07,9.726897807649237e-06,1.066227199775227e-05,3.7575967468672644e-06,3.3235066076997555e-07,3.133520553477709e-06,1.7881518266094076e-08,6.742718205998699e-08,7.357448139622136e-07,1.0641199699179538e-08,7.257843437358247e-09,2.572956190327602e-07,3.6380993773121872e-09,3.2685250062058913e-09,3.6740875231089376e-08,8.586388668740952e-06,4.522656775751699e-06,3.1660287700407963e-06,3.117779125982878e-07
