atom_numbers,value
N1,10.54507650121423
H2,1.9318165114144208
H3,1.908787163176144
C4,9.65418060109209
H5,2.0765055436328037
C6,9.749172724274787
H7,2.0719021713318746
H8,2.031640210992146
S9,11.187729445612092
H10,2.1307268745290493
C11,9.709720421940899
O12,10.914765006151402
N13,10.349876904051847
H14,1.8791326116271225
C15,9.582294437751214
H16,2.031942776772571
C17,9.612622334373308
H18,2.0656392878261505
H19,2.05115421604498
C20,9.63001971950679
H21,2.071402873071871
H22,2.079360913784518
C23,9.642027961341398
H24,2.0692312180407986
H25,2.066335243157857
C26,9.591170442944051
H27,2.028737333999277
H28,2.029381790825708
N29,10.365720923149713
H30,1.7968819809292416
H31,1.796053858575135
H32,1.7923080150215074
C33,9.683673111447142
O34,10.861606540834194
O35,10.857211726160257
H36,1.7403952614657012
