atom_numbers,value
N1,10.52065160575308
H2,1.9275077045118074
H3,1.913846304816146
C4,9.62717502684609
H5,2.0516584033085037
C6,9.742327090482398
H7,2.049693881344502
H8,2.052991125911154
S9,11.052110901217363
H10,2.1078507257203736
C11,9.713956898715809
O12,10.94243491489184
N13,10.365060250071979
H14,1.8951934464927742
C15,9.605391050221
H16,2.0262123201748463
C17,9.61536859929458
H18,2.079214385442908
H19,2.0591406487750596
C20,9.427108721908152
C21,9.494195249316798
H22,2.081083378324114
C23,9.50759413087795
H24,2.081245509299232
C25,9.499372326305608
H26,2.0770799522570975
C27,9.500291207084402
H28,2.077809497856323
C29,9.50706233477654
H30,2.0786792246000303
C31,9.728911222827435
O32,10.899832981852661
O33,10.902558857278233
H34,1.7591508356587604
