atom_numbers,value
N1,10.569645220250502
H2,1.9243106726512678
H3,1.9153666978975545
C4,9.649225695023455
H5,2.0757093299741367
C6,9.75159753869158
H7,2.0713961384531836
H8,2.061126910000063
S9,11.045715036200873
H10,2.1105836360095056
C11,9.702907329684036
O12,10.93905425359433
N13,10.339514396806626
H14,1.8853805195248727
C15,9.582986043804064
H16,2.037949226907781
C17,9.55981550314586
H18,2.062970380525287
C19,9.72308999718807
H20,2.081288999972366
H21,2.0868191598189956
H22,2.0929873654142277
C23,9.71668691499805
H24,2.082642296881999
H25,2.084695933755227
H26,2.085915226488162
C27,9.737826702942922
O28,10.91925079557945
O29,10.928138956597545
H30,1.7553340061259346
