 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,O30,N31,H32,H33,C34,O35,O36,H37
N1,0.0,1.8660255855845145,1.9322428367336626,3.0767038716569055,0.09205235866823125,0.19386672089754403,0.023573709415669386,0.022098118805627398,0.01694857076331402,0.01025692764631958,0.0011902925083415727,0.003175181440166125,0.004346640658685695,0.0005333938208010314,6.930686488748616e-05,4.450988598303507e-05,0.22081768597903662,0.04441368741520884,0.03380350276905236,0.002459007115987677,0.007303675115442346,0.0003732868510588627,0.0008434684814213056,3.276505953631048e-05,0.00022848499865368854,7.902710603159557e-05,3.4250148633341304e-05,8.039139790305683e-06,2.78589158486664e-05,1.521699270818494e-05,0.0001860649047389501,0.0002577537147200326,8.326507067057953e-06,0.0007247750511417128,0.00013727309140888766,0.000256102698749934,7.556342174941388e-05
H2,0.0,0.0,0.027379942645852307,0.10830074813329238,0.008101546076719313,0.03410535307036022,0.002400395479621009,0.0019193540271074117,0.0013044955049500429,0.00042865022994398316,0.0002403276448477154,8.253015598502778e-05,0.00011854091984375703,3.322566511065883e-05,8.881048120246149e-06,1.045318655368277e-05,0.006743167799650229,0.006426034572266315,0.0007676661890353431,4.2350083207187694e-05,0.00019797055944981157,9.936458730708253e-06,9.969808251186763e-06,1.4960520016149559e-06,2.666014711438791e-06,1.1349505877444876e-05,1.706410455981633e-05,7.955094831757492e-07,2.1747839165087157e-06,1.2728146788765216e-06,4.807827779451657e-06,2.0627097965242314e-06,2.8528451001541555e-07,3.7413555457277425e-05,1.2939073032347537e-05,7.3832118097083566e-06,1.7537296583824968e-06
H3,0.0,0.0,0.0,0.10915917793213403,0.034802349030572666,0.007985780582350555,0.0054047673671895335,8.495661577545555e-05,0.0008527270671092602,7.934280321930665e-05,4.8697014778165126e-05,0.0007900228350586902,0.0007509225539549247,5.6730257161463626e-05,1.4894019667366365e-05,1.84599768620064e-05,0.01798619525228684,0.04117021589997616,0.0027803756761971554,0.00032913442928061976,0.0003750308452622475,3.161419247099673e-05,4.661647114378997e-05,1.7077771223839022e-06,8.990777965456331e-06,3.2564850677596624e-05,1.067533614906857e-05,3.532532639738406e-06,1.981367563597125e-05,1.0684263231808266e-05,0.0001600211137898766,5.916349671974963e-05,1.2326706643417396e-05,3.0347980950140574e-05,2.285559983439267e-05,6.401544162870643e-06,6.729021013729408e-07
C4,0.0,0.0,0.0,0.0,1.9589154495325318,2.697409765631642,0.08098181697093687,0.07324528207858094,0.16801897081686337,0.012609723370476944,0.02760287564278463,0.0194755902293767,0.029595966848663904,0.003884732837391325,0.0005793550911706857,0.00025524894404760357,2.543054041021868,0.266866337688062,0.2255121536466432,0.015544928919767886,0.035440545131493945,0.003790110468349761,0.0035659571134519508,0.0001578912347439676,0.0009332369398631357,0.0004906368351236257,0.00046372748873224623,1.6378998180854865e-05,0.00038587677685217314,0.00011642815616480506,0.0028973978350246565,0.007004895844359593,7.817127755993525e-05,0.0033477897084216446,0.0005646739770914511,0.0010376530514591281,0.0002232364790644148
H5,0.0,0.0,0.0,0.0,0.0,0.0749325226546198,0.022776250787076346,0.0020082010036996945,0.021130934700608117,0.0014651605302984372,0.0026499782746838285,0.012939169029815067,0.024260360721438,0.0026851700055863237,7.520493702628528e-05,0.00023100892986049892,0.10750426409621006,0.026440162513653664,0.012204181473438713,0.0036799653795323017,0.001645931926956834,0.00021283524899806672,0.0002399459620898714,1.2559059100469838e-05,7.200057289269424e-06,0.00012063342140955502,8.211075732700301e-05,6.6102509364007744e-06,4.5492242084499424e-05,1.496976538661876e-05,0.00035095484351777007,0.0003422127487253679,2.1872754216722967e-05,0.00027262770498692745,3.734490569162752e-05,7.044489170127122e-05,1.951109483755431e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9741602832471647,2.0486943481048208,2.8535932152030705,0.0810709268642481,0.08682625343817252,0.17491866348271307,0.04094743743732887,0.02980633301653214,0.0020600330656103116,0.004564066867743022,0.1863074090560631,0.035382511694770996,0.036931692560165735,0.006489244804355088,0.00343855559264436,0.00015671835880282092,0.001313136175180335,2.697561641351598e-05,0.00013135875032033173,0.00020811903880366134,0.00024281511142576484,3.924160811186184e-06,3.905567008150035e-05,2.803793198574711e-05,0.0001291519789496931,0.0003442120811542049,4.960333829129304e-06,0.0011523949171400594,0.0015295522787434485,0.00034882354395775195,6.550596235610495e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027321950633214742,0.0980652913483071,0.0032665474424806717,0.005937718086342025,0.02655696888415915,0.004735773749514727,0.003285864437449937,9.335706934043841e-05,0.0010600800892548445,0.0041604543846043285,0.0002511339131945345,0.0017622295498018747,0.00016859676317415584,0.0002666098509511716,7.093126463741939e-06,0.000120858446026606,1.8099286058781416e-06,1.962511781927745e-05,1.0904166532266224e-05,7.65179328454657e-06,3.2616647716032787e-07,1.3903842042140013e-06,8.91822990234381e-07,8.0045316863675e-07,8.012653776034995e-07,3.9100452209339664e-08,6.07098551181906e-05,1.7643687256985174e-05,1.0387035198067274e-05,4.8528727500940505e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08552330342688763,0.033220018422265296,0.00270959523462011,0.012747990553835686,0.008719671002261897,0.0014401824014588227,0.00029262161707621637,6.673557524172757e-05,0.021160148287262093,0.0036293427769588105,0.0157497118629073,0.005593568285647388,0.0008987287525790144,4.412803295505974e-05,0.0006211467183101504,7.048265362463724e-06,2.542505071168044e-05,7.331037357227732e-05,3.181598429979893e-05,1.1367686962859835e-06,1.04778989751253e-05,9.64644084178179e-06,1.7933853539098266e-05,2.8439456902562554e-05,7.278088176576603e-07,0.0013579128059826306,0.005642408378571995,0.0005718682761597371,2.947180726775578e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9505071773991465,1.9949323679466193,2.627091454860268,0.276190136486033,0.22926432361117063,0.014231128564513806,0.043193548781349955,0.025901087136057654,0.006950815275859973,0.004016158761342134,0.0009749293509062618,0.0006039406860826324,5.960224794410163e-05,9.34260810318277e-05,4.730326106372473e-06,6.60076549718891e-06,2.3636984664732186e-05,2.3203924284009858e-05,5.667526590258376e-07,9.582009016989579e-06,7.533317914726334e-06,6.0840640453641015e-05,0.00011649264917446,1.474853562055678e-06,0.0001544757645306205,9.190223412493259e-05,4.6562179182224606e-05,1.2649636475403625e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024543825107298245,0.11063325233488919,0.030246431833175658,0.013716201483766288,0.0012827129513512947,0.0002353589173480497,0.0015999187633899403,0.00047894801753711747,0.0004668267297215367,0.00021908296968820018,5.788997800104667e-05,3.136129089753581e-06,1.8977125201491418e-05,9.475846074469274e-07,4.550614939535791e-06,3.610874607984371e-06,6.953134201292954e-06,2.7686001935478544e-08,1.1389192371424883e-06,4.16055902507928e-07,5.123502109682931e-06,6.243302598019085e-06,2.0725321570047583e-07,1.8938067123830393e-05,4.6752741042821455e-05,4.246854712230963e-06,1.2967584845924307e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10738443480279103,0.029365993430510606,0.012211407821851594,0.0036502849027151285,0.0006161061419469593,0.003942143711913593,0.0013656360147189517,0.0002860747460688984,3.9760808777655754e-05,4.541910849775732e-05,1.2533225322020058e-05,3.435818878294583e-06,2.8574893407018465e-07,9.760633856714662e-09,1.2386167353994892e-06,1.9808269071663887e-06,5.826422677657206e-09,1.7597001937819101e-06,1.320239283231217e-06,1.6377720868043788e-05,2.2301260920398747e-05,4.155076473999486e-07,1.966772765138458e-05,1.2972294179847133e-05,3.73201109804544e-06,8.012612595642565e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.304224917492414,3.638370329801618,0.13248495518658998,0.14843063757638641,0.001953216892674109,0.0006908891454119881,0.005305923652245359,0.014959642028389175,0.0007690164019931722,0.00015919682313891848,5.557699618122247e-05,1.2931202830079869e-05,9.676209334230634e-06,4.3939763965938905e-06,1.900499781326559e-06,1.9800934913938306e-07,3.4748162925923864e-06,1.1625213655469535e-06,1.1617855817547262e-05,1.0312536606771339e-05,3.7993012058645803e-07,0.0001510245661352494,0.0003254466354900981,4.334213096938988e-05,7.37229642810977e-06
