 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,N27,C28,H29,C30,H31,N32,H33,C34,O35,O36,H37
N1,0.0,1.8819020458938103,1.845272914546265,3.000526317727715,0.0893358916842919,0.20866788110773135,0.013246090686640177,0.009960530970268722,0.03649793432844814,0.00281305247217134,0.00079743784605113,0.003372334080773115,0.000884240735332234,0.0004883173835107182,3.2244037582840335e-05,3.096243709599378e-05,0.23799189476825827,0.05215121289379602,0.03677807493080408,0.001834191891651904,0.006751295898079129,0.0004365316280149356,0.0017509334582154618,0.00032920725880736246,5.103677305140497e-05,8.326406904970995e-05,5.813909992312405e-05,3.479456012342452e-05,2.090686821998311e-06,8.688587049027197e-06,6.02452533193798e-07,9.937308717705706e-06,6.181551068795699e-07,0.0006231087678066349,9.011542591064875e-05,8.388612783287452e-05,1.3531154228862974e-05
H2,0.0,0.0,0.027040180619449572,0.10507057745760606,0.007046765405282374,0.03252219860869077,0.0006156099131542359,0.0010271812029278848,0.004793634785927647,0.0007646665566165556,7.161085080031881e-05,0.000280769411331927,0.00010080310474958054,0.00012848557021816198,1.4143674076372292e-07,7.4300663803761324e-06,0.007878709258304584,0.0013961246122420334,0.0008567342425606084,3.853360838590447e-05,0.00016120819398057762,2.781978338584068e-06,2.8669439123607532e-05,4.711543880819846e-06,5.5528066291721245e-06,2.5756420082290177e-06,7.496642161486378e-07,2.0746167560536932e-06,1.5458679225588412e-08,4.2178030401629485e-07,1.3866947146112807e-08,7.220125642914965e-07,1.3064512804916717e-08,4.8659659598770943e-05,5.3495386793667166e-06,8.474692693050123e-06,3.3015864930874272e-06
H3,0.0,0.0,0.0,0.10390331904054906,0.03539727304029339,0.009539482715904324,0.00015731829993104185,0.00594944793044605,0.0006513973239221649,5.903789627481615e-05,3.875014161436319e-05,0.001068642195435121,0.0002090401860783686,0.00013389033572208664,3.526474569914839e-06,1.8127426923975065e-05,0.019152107088388992,0.04002704589329087,0.003398833657223599,0.0007099851290643944,0.0004600243135649551,6.322066288277917e-05,5.1814518266857235e-05,6.498339499172445e-06,1.3277114396803569e-06,2.1728279401056483e-05,2.9004925919395852e-05,4.255537655817321e-06,9.408282419798297e-08,3.3445825438072063e-06,6.704307908833584e-08,2.4017387264541057e-06,4.6848953982880914e-07,2.6305012454042043e-05,3.5878716871939886e-06,5.068592187407184e-06,2.7262553126128353e-07
C4,0.0,0.0,0.0,0.0,1.967808185858996,2.6764185576066657,0.09505368547200099,0.08535964432723908,0.15791599847390253,0.02748573246868835,0.0065351207345552,0.019844284493560738,0.006829455190166853,0.0025628797251883023,8.632759680382573e-05,0.0002692226566521905,2.5604592482623008,0.2674224942074983,0.22926595242191947,0.016391236835737955,0.03595300656565725,0.006254239167293618,0.003897244521207599,0.0011278814242552393,0.00013080036626123004,0.0003383800864704134,0.0004948215063956818,6.348278070744673e-05,5.168040422054432e-06,6.676181333334363e-05,2.5802034910871186e-06,2.8188018758729116e-05,1.98116859484454e-06,0.0033162923957587853,0.0003718275244833785,0.0009216915307578566,0.00020474062308928342
H5,0.0,0.0,0.0,0.0,0.0,0.08268640691897045,0.005826256662898821,0.0345700655782919,0.005363092729554042,0.00047491479167138806,3.7137465038972195e-05,0.011213436009406053,0.005977810828415198,0.0006111151445363783,2.7415180361867186e-05,5.295436641317153e-05,0.09023195601750333,0.02096385567350645,0.012490109941914018,0.011188609587256426,0.0020585183441128585,0.0002934276093182753,5.8675754391002144e-05,7.664692445175092e-06,9.583383928868372e-06,4.8324789713838356e-05,8.895575556999713e-05,1.4492490368667177e-05,1.8126896421666316e-06,1.1848534174907499e-05,2.779609969083552e-06,2.5303074107085877e-06,2.5896347821685595e-07,0.00017609568487642058,1.2344201883562889e-05,5.9217621313889524e-05,1.5689222544024162e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9149752229610517,2.0074686590799438,2.7685036023897704,0.09695492920948068,0.08318608139129902,0.17785986691876787,0.042413219760947474,0.03297997292661417,0.0010753241371850297,0.003547446446477198,0.1849274834298846,0.0373123756061344,0.02916783670853701,0.0010836823743582968,0.004162679093767274,0.0003891296249787235,0.00041975555244122553,4.809839054675802e-05,5.401804271953914e-05,2.8211214147796926e-05,7.028164550318405e-05,9.972923038573112e-06,5.716114305220898e-07,1.9504303758174912e-05,3.6015849339543493e-06,8.29435814460322e-06,4.991238681251176e-07,0.0015515285637941745,0.0005090731239266455,0.00035089038948965534,0.0001032008324644007
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023836637516405634,0.08892404907380425,0.005194195447181693,0.03402518630789042,0.009904751831478098,0.015402405030933264,0.0019212084271621466,0.0003400454352915361,4.635580829770447e-05,0.028491151367827205,0.0053244722901071295,0.002888499156017743,6.0531541873576344e-05,0.0006800194014502381,9.190924018387392e-05,6.183982149077227e-05,2.059536296905584e-05,3.6087675683305065e-06,4.444651647395048e-06,4.715000864519148e-06,1.147503821075091e-06,1.3308454427374272e-07,7.916220381432026e-07,5.023943483450921e-08,3.2353936951778905e-07,1.1654802678506826e-08,0.00018200593421702216,0.0001723751662203732,3.113561234713291e-05,6.432063966110846e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0936352964462216,0.0051871742450582126,0.004319687513508752,0.02758547302720271,0.004374724184315837,0.0031781816840769084,7.585408555010886e-05,0.0011044714627816976,0.009208824842899643,0.008838824670235002,0.0014408693158755037,0.0005253613294664561,0.00018098698316060258,2.342554586176604e-05,4.08204632789122e-05,5.174738363367126e-06,1.5649355826763411e-06,8.550370369508897e-06,1.7953586520791376e-05,2.1278417410286465e-06,1.5584295742776533e-07,3.2504761338092436e-06,7.555964163241669e-07,1.2370857200849628e-06,1.0147827156359313e-07,1.7680405525410947e-05,1.8661395937313863e-05,3.7896967077788446e-06,1.3913617373795262e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9661961656132632,1.8897644222789918,2.6865789791160704,0.2873344830275478,0.2321979964072002,0.014805130193817906,0.04529575462107449,0.023859326328109304,0.005855881023297531,0.006850897356854235,0.0001877341699331181,0.0006352807315022774,5.864945509803654e-05,0.00024121940683247134,2.220997518698198e-05,1.1833674735339805e-05,2.046282867076976e-05,4.93889891314131e-05,1.3501437473140143e-05,4.489212878100446e-07,5.395164840599209e-05,1.4985837048286932e-05,6.409303111243325e-06,1.7514471850610391e-07,0.0015920041099422577,0.004441311734515049,0.0005385569037891363,5.221984736936136e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025514808400494138,0.108822279217891,0.02252310135526303,0.023980525343953785,0.00044528245986752424,0.0004214273495843912,0.001873659472417799,0.00026007593181143207,0.0007649899885115996,2.8872049352424156e-05,7.398406967729088e-05,7.04724596278794e-06,3.363781029797064e-05,7.920885022327795e-06,1.185634225686627e-06,3.0258022221119063e-06,7.068795847997578e-06,5.468211690118352e-07,8.145572771844911e-08,2.961655026778587e-06,1.8015924996284127e-07,1.5184512042187848e-06,5.371669531406553e-08,7.42635775452527e-05,0.00011216706107985974,9.468274783763775e-06,3.7944062771799736e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08967317310192024,0.02181516659120364,0.011985868999521587,0.009393546214610193,0.0015973593048519419,0.01279486964375165,0.0022702740969133828,0.002485196033625514,3.300228629199431e-05,0.00028734883411241086,5.122798716339361e-06,0.00020044920814799028,7.515223007459326e-06,4.325897392076783e-06,9.7754954315743e-06,5.619912489596146e-06,4.309774416899614e-06,5.7964133270971274e-08,3.765455364845849e-06,8.623795988427219e-08,6.308278395206202e-07,3.567931416981196e-08,0.00287618875363993,0.011904351710388283,0.0011293828016871732,1.93161555417376e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.412645316279093,3.4156618592850982,0.12895561768707886,0.13821805670376763,0.0024270187877039884,0.0014420278436043238,0.0024095777660265993,0.0030665373301670407,0.0002800666207630198,6.983576814056924e-05,3.975267816738737e-05,8.084669610886053e-06,1.9904538930415328e-06,9.254197809835385e-05,0.00046627291328477094,5.658873411892862e-05,2.3344111794720845e-06,0.0002215113692332904,3.133171111557864e-05,3.645653788539316e-05,1.9063803716745653e-06,0.0008849245677394202,0.004787359133525529,0.00026983388430473765,3.5800331426250054e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553541673470536,0.027512336227348166,0.030057352656163605,0.001830788410390305,0.0007312412614309052,0.0006882488930498656,0.0014195941495040998,7.703237781987726e-05,1.5999031669933217e-05,9.752861309220151e-06,1.0460017506597197e-06,1.3381888621655236e-06,5.111064667370768e-05,0.0002668190513894844,2.7595361610385782e-05,1.4026877263040305e-06,0.0001342093828830132,2.2949905283953242e-05,1.4042814629661171e-05,1.3269648078129137e-06,0.00045397913356284847,0.001892772854393432,0.00012462790625630826,2.5828392616555895e-05
