atom_numbers,value
N1,10.493756202215534
H2,1.9342891725863316
H3,1.9266138025499036
C4,9.630440960182753
H5,2.078617704695408
C6,9.607790714732243
H7,2.0529358854027633
H8,2.0801763165119533
C9,9.648011007173865
H10,2.0514130368076926
H11,2.08371076511381
C12,9.72124747230473
O13,10.924579189449144
N14,10.436070329256589
H15,1.8965359023117094
H16,1.894503208509448
C17,9.674849235639805
O18,10.917638108781135
N19,10.365308569632036
H20,1.8964750123828793
C21,9.581149355454288
H22,2.019819993717965
C23,9.561065428964332
H24,2.0779586257421783
C25,9.643489812614293
H26,2.093174996854083
H27,2.0956375391932456
C28,9.710927174933508
H29,2.0765536974827192
H30,2.085501124819044
H31,2.0833017447377467
C32,9.71940175797981
H33,2.087008379754385
H34,2.083004105316412
H35,2.0899785347106574
C36,9.730611113119828
O37,10.920174939344987
O38,10.900799155298127
H39,1.754265609463114
