atom_numbers,value
N1,10.529530688097166
H2,1.9281392541941835
H3,1.9291109290424213
C4,9.630323655776799
H5,2.0772034600606455
C6,9.609288608816307
H7,2.05472867239635
H8,2.085159253892331
C9,9.653320941841232
H10,2.056327652326204
H11,2.0752407372659754
C12,9.75482896636713
O13,10.908209961198452
N14,10.469060316846468
H15,1.8893623550436485
H16,1.8919069418144052
C17,9.723004765679383
O18,10.954858673052899
N19,10.359630541811383
H20,1.8877315148932459
C21,9.586347099115814
H22,2.05310455310502
C23,9.623426350364053
H24,2.0486361575756717
H25,2.0650025435461847
C26,9.508105625662534
C27,9.583061962613318
H28,2.0606845499081676
C29,9.476074182785037
N30,10.377845949750302
H31,1.8775903460269747
C32,9.506892275635618
C33,9.537021342000187
H34,2.082830622455291
C35,9.540816446429357
H36,2.0777071448217828
C37,9.554836111603777
H38,2.0790867103959796
C39,9.530218854194388
H40,2.076407328882116
C41,9.714454021160321
O42,10.873536960713283
O43,10.874072984008665
H44,1.7604088171567183
