atom_numbers,value
N1,10.585108173869628
H2,1.9548464564694394
H3,1.9456025700296715
C4,9.63046106929292
H5,2.067075473889011
C6,9.626171413523116
H7,2.08916188339498
H8,2.1116217582855996
C9,9.678404714245739
H10,2.101736408358172
H11,2.092385695230502
C12,9.943764355021772
O13,10.979259308973868
O14,10.980845043080004
C15,9.74960351094106
O16,10.980885962918636
N17,10.415633805846667
H18,1.8551543523664558
C19,9.611603856511811
H20,2.0769248390619355
C21,9.704892067106677
H22,2.0965996596848697
H23,2.074184719332217
H24,2.0619498496563544
C25,9.689439133687921
O26,10.889533673941848
O27,10.886399892046578
H28,1.7871499535595863
