atom_numbers,value
N1,10.608228734784168
H2,1.9522080138296947
H3,1.9424499123393895
C4,9.628386248616401
H5,2.073515017654135
C6,9.61961158489514
H7,2.0820004196790514
H8,2.1060147172787733
C9,9.680948333673065
H10,2.0935034409373525
H11,2.085511790715548
C12,9.936705149211223
O13,10.950684034004132
O14,10.995071668944181
C15,9.751461518435253
O16,10.967774583375665
N17,10.414280244596986
H18,1.8768058987295624
C19,9.624962572579632
H20,2.074050602483956
C21,9.687932950850785
H22,2.103458986647351
H23,2.1132514506551203
O24,10.92989957979047
H25,1.8095067549931496
C26,9.756793704137747
O27,10.902725585678644
O28,10.912114887841009
H29,1.7854322550870387
