atom_numbers,value
N1,10.615367614259027
H2,1.9204253106113192
H3,1.9462972121505762
C4,9.68257348966545
H5,2.0881391219308183
H6,2.092930681001911
C7,9.765872497551154
O8,10.959996517748692
N9,10.43357118153166
H10,1.8811474240289328
C11,9.608522150509394
H12,2.0734713221251275
C13,9.662898599536689
H14,2.0883943521669392
H15,2.0856185101204865
C16,9.903957306599155
O17,10.968608217487413
O18,10.995849596444486
C19,9.742656697506096
O20,10.919586251727523
O21,10.929209948718144
H22,1.791595604427095
