atom_numbers,value
N1,10.57776027620713
H2,1.9304264627900212
H3,1.9237302793665703
C4,9.714358189652565
H5,2.0747668502321712
H6,2.064398069012963
C7,9.703587695797935
O8,10.923637956454337
N9,10.38990830277025
H10,1.8843402435601506
C11,9.595617682587255
H12,2.0344079672209827
C13,9.564854969258455
H14,2.0786020500814555
C15,9.714834135697709
H16,2.0891211721121223
H17,2.0765251368822755
H18,2.083978830613181
C19,9.72008908121956
H20,2.089216984721484
H21,2.081556580089103
H22,2.087297809960477
C23,9.752887627139533
O24,10.908966283659975
O25,10.905310084128619
H26,1.7564007479898522
