 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,O27,N28,H29,H30,C31,O32,O33,H34
N1,0.0,1.6395472310346157,1.6367393773028347,3.0005934118048154,0.08509320409829801,0.2139455620688952,0.025154973531393066,0.005982995506984556,0.03264060491766034,0.004403116111165603,0.005869669207800229,7.155770471656275e-05,0.0008442737072991285,2.1794299006505646e-05,0.0017973613169109948,0.00029295598982881366,0.2179767509482805,0.05278482529033021,0.033925852721445486,0.0022312246533142677,0.006949734848844716,0.00039683796795841886,0.0007475029194246446,0.00012815374398444934,6.835714233832668e-05,0.00011660399549437428,7.341926648525565e-05,0.00021592843060400102,0.00028171571970969644,2.0654759391058874e-05,0.0010431578703398586,0.0003596830159504488,9.370988823257514e-05,1.1878987620228543e-05
H2,0.0,0.0,0.027140997237037112,0.1112187863209545,0.00848330071813419,0.03204354284171351,0.0012250491347682857,0.0005496239263904634,0.004593768017613464,0.000295841628148219,0.0011323147918119725,1.5562847077266184e-05,5.954598937807365e-05,5.13291152515194e-06,0.0002740587258062144,5.153911576805115e-05,0.0067913804848700465,0.0032100235302741087,0.00043002950179438226,3.361852270789001e-05,0.0001622870010230537,1.6819506156506847e-05,1.5038283551538356e-05,1.4618078858497086e-05,1.250141871800281e-06,1.1394840228051706e-06,7.880150274530706e-07,5.808574288446167e-06,7.249444085477563e-06,3.7707373534701105e-07,1.6473376928560768e-05,7.874409916341918e-06,1.9594694257163425e-06,6.722729704033981e-07
H3,0.0,0.0,0.0,0.1068326474340211,0.03465645213052282,0.007128655086639735,0.00022987473186053542,0.003303289227271966,0.0005817375170699135,0.0009005470902809787,0.0001933602818426916,1.0872687478569176e-05,0.00015703689955859357,1.3968342482462148e-05,6.210105659432141e-05,1.7112845250633058e-05,0.020947334707328236,0.0560475989481396,0.0035590364918616224,0.0003886395356871297,0.000440915047419832,3.2132928150074846e-05,2.9589961263454256e-05,5.516474611777511e-06,3.763753369634415e-06,1.6064199648946342e-05,8.044328168477222e-06,0.00017776025176963195,5.740015074673366e-05,2.5615450002680618e-05,6.005749884874234e-05,8.602256170386902e-06,3.222754114395876e-05,9.606908141668313e-06
C4,0.0,0.0,0.0,0.0,1.8176141866409325,2.3582942933495974,0.09694657680382113,0.08076785745383419,0.1702128355228221,0.033617529659121126,0.029439240488070673,0.00047206121082865593,0.005935621370537492,0.000267259757951388,0.007249976711836581,0.0010791134272014613,2.639419818879639,0.2662144748070591,0.22197504286972913,0.01432527705320552,0.036273691027112503,0.002497257485261417,0.003195570335491782,0.0006315281794071481,0.0003844388694760337,0.000575350790569612,0.00021121322058949288,0.003258658903296213,0.007830381289499089,0.0001773847107402471,0.004023630556360985,0.0015753126337139517,0.00042031789223384575,4.662864876314732e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08149973533014898,0.004478068111142042,0.0339674707648141,0.009494134979103341,0.02057757457969145,0.0014187308128819076,8.040531370423487e-05,0.0015323052683193783,4.1994472090634005e-05,0.001072960764577413,0.00011245726548669843,0.09740886299924134,0.023410770923376067,0.011444000422952239,0.006317951437547986,0.0015687556277392822,0.00032314638655117633,0.000141039097246054,5.350490194144797e-05,4.980935637943773e-06,3.647094719072541e-05,1.548792003713828e-05,0.00034010799765193944,0.00033477836677020534,2.7276490154992672e-05,9.113019947282197e-05,6.074437909464603e-05,7.967999932978476e-05,1.07226551526729e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8690901481662558,1.857231373578431,2.8958948921963006,0.1901241442562209,0.24190397126889318,0.003780115917276561,0.04595796023016449,0.0023918730585756887,0.04153864952825592,0.00232556207814294,0.1847443875758995,0.03426021091973547,0.02832585095124479,0.001061667632760277,0.0032363009698916367,0.0003746780480191614,0.0010723693421783864,0.00020271131556270916,5.197111102983598e-05,5.689484489412866e-05,4.470216179668085e-05,0.00014275167456261062,0.00030434289446201745,9.741391335582605e-06,0.00047734414154965155,0.0002053686270659938,6.246838037318736e-05,1.297090806939849e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024072683333250966,0.09793027689689127,0.017327250960233687,0.039560345564869426,0.0001534744666285004,0.005691006066682824,0.00014032055233248464,0.007693297873106686,4.578880900485416e-05,0.02911634353029835,0.004616646971361438,0.0044546404434091524,0.00013557658433072106,0.0007535220033525469,3.439010298600387e-05,0.000121736292287844,1.5180384116630918e-05,1.9966344655397705e-06,3.6230307329798705e-06,6.891232311234674e-06,3.524630215223645e-05,0.00010508466342384892,1.0092050664045615e-06,0.00012205003785581425,5.349024479173181e-05,9.912448280080532e-06,2.757319611967901e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10511592944912085,0.022032876769457088,0.016611830658458393,0.0011267888973027773,0.0039611489306830006,0.0007538159766107277,0.003274212330935944,7.589147587783174e-05,0.011435786081175126,0.004625325560455695,0.0010076969033995242,0.00013113513228257823,0.00010766711371656967,7.0843944115495106e-06,1.5474142338822716e-05,4.784630057930173e-06,1.9478155042218503e-06,6.288460136616436e-06,4.2578947475613305e-06,5.101161022680323e-05,5.892532045836951e-05,3.873420781674852e-06,1.500343216020994e-05,5.304611509937551e-06,5.396309928684673e-06,4.873043404352018e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.595455119544509,4.015770823156914,0.11788480032548065,0.5519779995904367,0.036174312346501036,0.4872399873039186,0.028693083965933064,0.013296123109520774,0.003609190940564208,0.013596402370977784,0.01449852318077216,0.0009951826705886235,0.0001377810347039654,0.0003853582158136748,3.716935585873493e-05,1.2910789831899194e-05,4.994207096481462e-05,3.132398881318388e-05,1.7772683376354736e-05,1.7836074811428126e-05,8.160883053776047e-07,0.0001382064526361526,3.8394083538506596e-05,0.00032452674223479305,3.810191062747492e-05
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4161847693263515,0.026030238610651235,4.386291830791974,0.11321806741485974,0.5340199884134721,0.029150947080146095,0.006971980069246514,0.0019475435875267455,0.05277493190517536,0.1510262525809999,0.0048228902607360125,0.0002509788643202393,0.0009720417445758522,7.78508650961518e-05,4.9383184783313716e-05,0.0001865198546057989,8.115513935962049e-05,3.347242197662692e-05,8.50878903557728e-06,9.34159473109375e-07,0.001231175705964177,0.00015473229560176993,0.0020388675167797438,0.00019903299039358835
