atom_numbers,value
N1,10.561345270030378
H2,1.9301826632708179
H3,1.927035422268629
C4,9.621002192017023
H5,2.063883296474782
C6,9.616866235851568
H7,2.052333613816214
H8,2.0728075584675434
C9,9.56695939907939
N10,10.437774978884852
C11,9.6303798413586
H12,2.0643858733301417
C13,9.686599195913812
H14,2.0694488177422423
N15,10.382920606447785
H16,1.8686858356135763
C17,9.671221833325086
O18,10.918136459474404
N19,10.340802874126648
H20,1.8780055656261085
C21,9.571995407589045
H22,2.0384915710848515
C23,9.613726800700697
H24,2.0496758831892987
H25,2.051373832721132
C26,9.76928684918763
O27,10.912082868215073
N28,10.440113064191685
H29,1.893083282753516
H30,1.8925023004389718
C31,9.762258760024913
O32,10.884636471552456
O33,10.903485825239654
H34,1.7603074592149108
