 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,S26,H27,C28,O29,O30,H31
N1,0.0,1.9186145303259567,1.8970484681017727,3.111882353834005,0.10073239339543805,0.19031551384544848,0.028633020326241043,0.004756604014923171,0.030095717972022484,0.003795515347190609,0.006141999927306768,4.280621929786399e-05,0.000900327450918878,1.7833431908531594e-05,0.0019286701402454337,0.0001961629091079553,0.2255394193685037,0.051658971292286845,0.03469505787719472,0.0017368256992080777,0.0075229314611206105,0.0003782802091557569,0.000489238707375661,8.447360263896808e-05,0.00016417681751734747,7.460560253480519e-05,7.851596546482043e-06,0.0013067636839964036,7.729442310808188e-05,0.00040544109660543837,0.00014139445038807708
H2,0.0,0.0,0.026929619614688205,0.11165924280176998,0.004401088941789366,0.03397572005743765,0.0019455981386684584,0.0001946067715916655,0.004629311603959851,0.0002580515887521395,0.0012533958498807118,1.1081083553188265e-05,7.379998096890272e-05,3.5952441281850156e-06,0.0002899443426360726,5.6609285414621624e-05,0.019197143826208185,0.05176237946320472,0.0032935495418774385,9.141512132515572e-05,0.00047195779027864315,3.513752155948069e-05,3.8492105878362715e-05,3.011491040982861e-06,1.6482497807501773e-05,1.1343116334994185e-05,1.7533684122383875e-06,7.018871240882518e-05,3.350435252191808e-05,1.2456209721456446e-05,4.038178492704603e-06
H3,0.0,0.0,0.0,0.10555390214264948,0.037043502332153144,0.013288095228512042,0.0012043466417290816,0.003699280648186143,0.0010966963984690992,0.0007483373239736135,0.0001778002379152488,1.1824525201431513e-05,0.00020174560924302032,2.2459228438576062e-05,5.06388252549117e-05,8.711825600027367e-06,0.008595905772778134,0.007685848531069683,0.0009666918412650771,6.35196668683502e-05,0.00018380006038076768,2.3629209632058945e-05,5.8558829072685725e-05,6.755782247624964e-06,9.942167563448123e-06,9.304716989455564e-06,2.9295751535762804e-06,4.842166732910158e-06,2.4223659367272887e-06,2.9289392650122537e-06,5.120882018427864e-07
C4,0.0,0.0,0.0,0.0,1.8842457554382923,2.6882091167121684,0.09515052853663852,0.07770282676401252,0.17555531600543148,0.028951218789202454,0.04044638266647582,0.00032850339760770453,0.007064585926210121,0.00013804705602149525,0.01004134156141967,0.0006583085343491168,2.541808252140916,0.28118990273265054,0.20679056876955937,0.00859207381896121,0.03455291400266913,0.0040669053771629216,0.002910945802619136,0.0006535035420609514,0.0009735662942766954,0.00034202431774796316,5.19289899010289e-05,0.004296644113117254,0.0003781441506011396,0.0012052826382751985,0.0002562732132431744
H5,0.0,0.0,0.0,0.0,0.0,0.08199360671816924,0.003043910325173149,0.03142986851445606,0.014840893602378502,0.02339920775159965,0.0022607554908105065,8.837601425404351e-05,0.001959572093621076,5.7084643503957366e-05,0.0013468238430148771,0.00010184046881667186,0.10822507032805562,0.02796088191980839,0.013257249718435005,0.00022883071146351242,0.0012275913055392884,0.00028802486549817097,0.0006304754376045274,7.514771248029462e-05,7.816317107289805e-05,0.0001281413091235306,4.2860440821357315e-05,8.08801264917669e-05,1.2273442013155389e-05,1.9190936051849405e-05,1.8520949132128095e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8062131922045501,2.0084492539840797,2.78306697075092,0.19737031899001378,0.24825127361441307,0.0041802697462826055,0.04927798363379224,0.00235014668960698,0.0451717127741708,0.002386056366140421,0.16166553656297142,0.037627218396150436,0.023481871093985474,0.008646832172182095,0.0026167287022247215,0.0002712671718620996,0.0009332938658227763,0.0001360634869663757,6.842760462133501e-05,9.688978382789426e-05,3.9772678821270446e-05,0.00034023887653111817,0.00036919305470441144,8.966398852669477e-05,1.3467904207198345e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02460348303693638,0.10780241635411292,0.013571661868795992,0.04223597955270453,0.0001311383579685188,0.004697018698215483,5.160486974875589e-05,0.007919752392493318,0.0002343810429175086,0.027375535591583455,0.003904436551350865,0.003358267373852919,0.001301507211897146,0.000332454581182029,4.926367522939401e-05,0.000155245471536114,1.812853230620526e-05,9.24928117473911e-06,2.0086184048917488e-05,1.5313347319079185e-06,8.695646036294136e-05,0.0001692402258390846,1.849453555724523e-05,4.2405691720315275e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10851492448621225,0.023038854179384005,0.01135259974109748,0.0019206108485774198,0.003482727100176497,0.000933030904998633,0.0014875516885011209,0.00012611921551797245,0.01121897848785225,0.001501089182484927,0.0033497601351246686,0.00034841500835880446,0.00022956708783650193,3.5059306910945054e-05,0.0001440411621400628,1.8443184147232117e-05,8.665740910629438e-06,1.3321007612976388e-05,7.963651384779169e-06,2.7118883425325535e-05,2.3561759767254387e-05,5.676594618253539e-06,1.73319049956433e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.426480696651836,3.640503181463722,0.11451481837208877,0.5551589043894707,0.03688341509311277,0.48443327656932234,0.02886378513976784,0.009579336945312183,0.0027225390376087455,0.027053330319510793,0.07247461530348742,0.0034242077079202626,0.0005674595360823931,0.0003720629364309669,7.311131137499594e-05,4.0244408787692976e-06,0.00010971804419031284,6.0698858963537106e-05,0.0011293396398040223,0.0038799775347408832,0.00039780232496128276,3.7406937262063344e-05
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.410613530300606,0.026168855319480544,4.215591749481511,0.1148016970791732,0.5267615963022858,0.02952075612450067,0.0023444483472190025,0.0009846314673341017,0.004055342029100073,0.004100803539300091,0.0007254165640671051,0.00012072734370793814,9.354534195085695e-05,1.1200525093069125e-05,4.657437966293365e-06,0.00017207982975961378,0.0003956027719638211,0.00020218297077856384,0.0004797236814164524,4.6999265323338646e-05,1.0130237883765325e-05
