 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,N27,C28,H29,C30,H31,N32,H33,C34,O35,O36,H37
N1,0.0,2.0090238587494,1.9480728448031202,3.00865388228921,0.09704738887342457,0.19047084882059903,0.031248781922863178,0.004342307810494828,0.028989976411806354,0.0032215130426937327,0.006265420944428363,4.434690294785604e-05,0.0008276580264807709,1.9754788678771895e-05,0.0019396685645646505,0.00016086109893231892,0.23125651469551184,0.05251346361917608,0.0352735844159487,0.002044237305580121,0.0075532547716953835,0.00047546055205305304,0.0008605654793465145,3.586187315962608e-05,0.00023195115872565175,6.309959789936592e-05,7.767080196230403e-06,0.00013326818963881049,7.505716357636416e-05,6.40118109679344e-06,5.499788776619496e-07,2.1014880460856755e-05,4.0566287640153575e-07,0.0009284679800113244,0.00010993857090826897,0.0002730254236926605,8.207175174101966e-05
H2,0.0,0.0,0.0267517435421174,0.11037742101257564,0.004336858599303328,0.03462881783303262,0.002203454141441741,0.00014775458295157584,0.004542367612510367,0.00028857270792648215,0.0013032141154832866,1.0292190003369228e-05,8.850349699940363e-05,3.771929295126597e-06,0.00031201896365817827,5.2620334231701094e-05,0.01792678065854625,0.045896121316383875,0.0030513719034284126,6.879881071442107e-05,0.0005102236845823116,5.823554434503109e-05,3.591089171306461e-05,1.2373184646641278e-05,2.8436580583601767e-06,7.2828211571396295e-06,3.08612871036118e-06,2.59899726837709e-05,1.283656816730705e-05,3.2882167728676137e-06,8.825307973303609e-08,5.8899239441245754e-06,4.043150436672249e-08,6.805491549866094e-05,1.919211979428681e-05,1.1181297942641777e-05,2.1600539992228107e-06
H3,0.0,0.0,0.0,0.10374286500632968,0.03739112973759329,0.013431427767094828,0.0015596660088330605,0.0031756247780665436,0.0012267931391534148,0.0005132036234510862,0.00020065576652605888,8.537421485099728e-06,0.00017436005163529167,1.806409813442933e-05,5.032224826528875e-05,7.805601042631949e-06,0.00904504702632769,0.010132626910438591,0.0011538815936206204,0.00013040959704246902,0.00021942417761644517,1.0218663264227601e-05,5.078078888920423e-05,8.793328845069226e-07,1.1244050051928411e-05,1.0032874540599757e-05,1.9089097773594688e-06,6.1000552979417755e-05,2.2598153195829696e-05,4.347847115115933e-06,4.677877001313391e-07,7.497864006777988e-06,1.1277966582845522e-07,1.4900451397403813e-05,6.219301190268922e-06,1.6269546759817288e-06,1.758189631662077e-07
C4,0.0,0.0,0.0,0.0,2.005028163513417,2.742735975417961,0.09157241937335137,0.07715364731998986,0.1745328992914402,0.025812819992779457,0.04316032557739807,0.0002760786181674746,0.006728753149940758,0.00012202532744076677,0.010834842902403788,0.00047461674144744226,2.6362539232216524,0.28285339752502653,0.21243404201284777,0.0108259086096274,0.0346782324673362,0.005739359380780629,0.0036400957779532117,0.0001720427186950868,0.0010803605574085662,0.00037254258448493616,6.937071600679467e-05,0.0014559205932449526,0.0020142976981598615,8.029257147633417e-05,3.1488581924143944e-06,0.00018240283318333994,6.341743696736124e-06,0.0033666503836295714,0.0004310057310040194,0.0009599717426644616,0.00020940497488786125
H5,0.0,0.0,0.0,0.0,0.0,0.07973205012048679,0.0024066138130889314,0.02994483491521871,0.01597221957005157,0.016394621386846664,0.0020699644130248718,6.911045642232772e-05,0.0015240236274192132,6.032494670749067e-05,0.0012751567318641799,6.435797019799239e-05,0.10603766989631591,0.027198120643273094,0.012379860814622501,0.0004948241507385376,0.00140130915579606,6.740032147978248e-05,0.0005037967426833045,3.82241582519427e-06,3.433488349280367e-05,0.00013778850236567664,2.5529422084336062e-05,0.0004252641085800146,0.00020489135263801472,6.985908910839278e-05,1.0952474409631208e-06,4.76336128840682e-05,9.215518081973073e-07,0.00040864197397105784,4.4395450623069266e-05,6.037748642451213e-05,1.6680104012678498e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.094447370444772,2.097078483153122,2.9158685829335016,0.1954027645106505,0.24703296658405527,0.004175956016387761,0.04781247123136009,0.002366217990197872,0.0459143256201273,0.0024760232813050287,0.1661660996710396,0.03717171881767145,0.02555103277067662,0.00822346006748187,0.0027078263104086814,0.00046687768751685343,0.0008258816577246114,1.1759626176610638e-05,8.739745259001008e-05,7.095592906730674e-05,1.7418149439674124e-05,0.00015567088069914914,0.00017199215635921306,2.5740778337030035e-05,1.4293900696404904e-07,1.7527291628266495e-05,4.125625344686412e-07,0.0006412733555683225,0.0004435943354148403,0.00015342889874514487,3.557758075611872e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025146249118565223,0.10891818632089256,0.014403453238003627,0.04047817046658109,0.00013838740721672238,0.004142693465613245,7.736878897057764e-05,0.007455927654791417,0.0003585956005733859,0.026428147015994163,0.0036341180026026043,0.004029233421673606,0.001241546856530551,0.0003989276529110519,0.0001598026084590476,0.00011744429210613916,1.3187647982526585e-06,3.197542157495903e-06,1.1336840588294095e-05,2.7023253258429136e-06,1.6246198468072848e-05,2.6622586672298e-05,5.608323511485658e-06,5.696543681210642e-08,2.081959856958804e-06,3.15219415014667e-08,0.00017710182174468514,4.861349133222781e-05,4.063403343657068e-05,1.1651166023307624e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1071565187653778,0.02302422357552425,0.010840734756433879,0.0017125258756174322,0.0035453181342628426,0.0009099983620453056,0.0014086873381906617,0.00013333426966366524,0.01348570378180014,0.0017585813540469397,0.00328083278696778,0.0003054647015181544,0.00026922334786827484,4.4931749333620985e-05,0.00013933231815310698,1.7862289298786749e-06,6.897534901462166e-06,2.2198220203772934e-05,5.313568535170177e-06,3.309921383243264e-05,1.5036372649435137e-05,8.631714750073627e-06,4.8252743134469256e-08,4.165474647432887e-06,7.699971282804086e-08,0.00022434601710386026,0.0005723415880672933,7.214578319847398e-05,7.512319548208524e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5438972254282115,3.813745422813864,0.11795692968913452,0.5441569676730458,0.037013388663003965,0.4968863246597376,0.02912612586410679,0.009589517848688084,0.00284657455218075,0.02593194471732868,0.07432481256693368,0.0031024950231075543,0.0007442955023795328,0.00015433125588734664,3.9449903199706426e-05,2.5709357318381976e-05,1.6683223653252144e-05,2.9076847765652225e-06,1.1184819765197584e-05,8.771577384658613e-06,4.87278553151782e-06,3.9173372545775464e-08,2.3330636498841706e-06,1.0235078817810717e-07,0.000829996959992696,0.003099294605951833,0.0003071657665951466,3.209062805697993e-05
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4188032073694709,0.026008666498991584,4.4015447536744094,0.11158313107622098,0.5302213760105914,0.029788321377767435,0.002345872120461251,0.000944760032601133,0.003017554632827338,0.0035215141163613684,0.0005852130670955247,0.00013265286280739197,4.656230037876352e-05,2.003867533573178e-05,4.520188654821844e-06,3.649759353824278e-06,1.0488094729088626e-06,1.2081290364993058e-05,8.865137813840462e-06,1.5338555698074519e-06,3.010129101532755e-08,1.5252489454775642e-06,3.27000146960188e-08,0.00014115552802035358,0.0003845940206746029,3.898604155495866e-05,1.0566925629396096e-05
