atom_numbers,value
N1,10.569072091958391
H2,1.9253863263189945
H3,1.9384720979592927
C4,9.623432350979417
H5,2.0537560789297453
C6,9.622852767502568
H7,2.0451425366942706
H8,2.0846012165756242
C9,9.581891030622762
N10,10.44184880464841
C11,9.6333518810816
H12,2.055193504575083
C13,9.68434200897142
H14,2.0714734584252636
N15,10.374589868494882
H16,1.8721715069172808
C17,9.764402062544711
O18,10.953957377094296
N19,10.406690447389144
H20,1.8876380198221563
C21,9.588552245483799
H22,2.0345355146373696
C23,9.556086614670571
H24,2.0890541313229205
C25,9.634564622084394
H26,2.0857409610031814
H27,2.0938429169612878
C28,9.717512980426646
H29,2.0826743139251995
H30,2.0833311415189413
H31,2.0885271704752335
C32,9.734119254351496
H33,2.085356624413968
H34,2.096263548293051
H35,2.0712055623205887
C36,9.716886016427708
O37,10.920204640066975
O38,10.90257519384389
H39,1.7639294189713484
