 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,C32,H33,H34,N35,H36,H37,H38,C39,O40,O41,H42
N1,0.0,1.9365886885674342,1.8146506473214639,3.0434722639959824,0.09236536131117112,0.21363793497677122,0.01604613211913064,0.009994763568119014,0.03337434257357638,0.003976749609673508,0.006235576906113122,3.099857551136509e-05,0.0016048065709765857,8.230882680337892e-05,0.001531825423108965,8.39962513810022e-05,0.23140138754804698,0.04268916601725717,0.04114053444161772,0.0027206645387476414,0.006390319801725858,0.0007565948889505236,0.0008608850909510996,3.240553365879695e-05,0.00018113198970082234,0.0002759886389245153,0.00022755720405120972,4.959102786639136e-05,3.290480012183017e-05,1.447360168826961e-06,1.0423522368130378e-05,4.468694987540267e-05,4.716336476473515e-06,1.4721787018223687e-05,0.0004175215145433564,2.26167417913814e-05,2.92913429366104e-05,0.0001739842504908662,0.0009590409083267415,0.00010383045859122669,0.0002957025080724124,8.908524351081137e-05
H2,0.0,0.0,0.028066391663037926,0.11235985442450591,0.007406759929383666,0.03227699592155653,0.0007015272551897933,0.0009761038301359104,0.004618194832485045,0.0005560686978285379,0.0012410439216364866,9.84062159248289e-06,0.000204232386126324,1.8992705353770845e-05,0.0002877012012957314,3.328360617627091e-05,0.00599684895315078,0.0007557395267939748,0.0008334708360998588,6.641302167365026e-05,0.00016150022979188883,4.814448749446143e-05,2.583871553341055e-05,4.330660968276945e-06,5.50177469071933e-06,5.949434344731941e-06,3.3499010412274544e-06,2.241487323084712e-06,1.6282229149400251e-06,7.616736796833834e-08,9.096779594042204e-07,2.5837895840652436e-06,6.985126255187879e-07,9.834950180920288e-07,2.1272954488504858e-05,1.202288899326831e-06,8.874709372497236e-06,4.318797317326428e-06,1.1417524053980443e-05,2.9869838804597038e-06,4.9276042054513525e-06,9.956793838306055e-07
H3,0.0,0.0,0.0,0.10760123297207225,0.03624413763309464,0.00848888009205584,0.00017166751233199662,0.005603122378833536,0.0007206962559835883,8.890212031031908e-05,0.00030016710938385316,8.853245112794284e-06,3.284928593305647e-05,1.5616475914637107e-06,6.870872442277243e-05,8.626251270182905e-06,0.015969312649000256,0.031130097572858118,0.0025713286689241777,0.000932315065596212,0.0002617884990954167,5.529619017341503e-06,1.2086446633530201e-05,1.1830812516322453e-06,6.407347969972221e-07,0.00014189136770004218,3.89274953163099e-05,2.8345602520962743e-05,1.0244249829871599e-05,5.696301448310237e-07,5.560278104610461e-07,5.9015899555037166e-06,5.015233470739844e-07,9.116073704795724e-07,4.952447430650597e-05,1.3884944569886315e-05,9.704802919063837e-07,2.0753970435327673e-05,5.465295000162129e-05,2.6709726443807646e-05,8.663636700156907e-06,2.115493951571068e-06
C4,0.0,0.0,0.0,0.0,1.8814851144060931,2.643116673388747,0.09141761586486397,0.08116529242193793,0.16496646053342934,0.02055612893100564,0.04658140390011714,0.00016011927422154848,0.008851094226929757,0.00013844391582717996,0.009410605493268331,0.0002199504594253554,2.6456824339912792,0.2690534182399472,0.24707110082290273,0.023733179918297487,0.03725043015330626,0.00156694479102093,0.0033208330436792777,0.00023319220363715587,0.0008197951950408289,0.002840602226359956,0.002929306650210295,0.0002738965088460166,0.00017402787376888385,1.392693003920975e-05,3.460042707348343e-05,0.00020335295682807897,1.227184050112129e-05,4.894992523296615e-05,0.0022645664501514673,0.00013175749511828982,7.653528881235161e-05,0.0036098691971954144,0.0038995084648330847,0.0005834494704401588,0.0011235954457889663,0.00022611958781892927
H5,0.0,0.0,0.0,0.0,0.0,0.07721536123996153,0.005546795113944736,0.03256207218079932,0.006285682525782432,0.00034669099170858697,0.002047466686304178,6.031783713456029e-05,0.0006098806133332246,1.8289848005004217e-06,0.000290374160719864,2.3042454319943673e-05,0.09411148236123568,0.021466236875752664,0.013195578588242718,0.015423182722917428,0.0015363205022131954,5.4343457856820265e-05,0.00029857966521473767,1.557865625700927e-05,5.327438978852683e-05,0.0003276301846466545,0.0001505568919990541,2.4004529586507672e-05,2.208208381260235e-05,4.849043671262265e-06,9.897586463747388e-07,2.2734239469412998e-05,1.617451216961996e-06,5.903409017182781e-07,0.0001404286606568883,1.3599244438333713e-05,3.671108224190256e-05,4.9968470580141755e-05,7.530874924066566e-05,0.0001102044261952484,1.3891846434854749e-05,5.086916717633727e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.020245100694671,1.9371731982677454,2.829126966495616,0.18654688133579422,0.25818254162863286,0.0045453700151555365,0.049074110275878075,0.0024349675522004066,0.04655469044760678,0.0024222193986308538,0.19984992747459832,0.0446191445902932,0.03676369876601798,0.0015346786274715862,0.004703872059747122,0.0008329800665524134,0.0005480383352243212,0.00011172086724975383,3.021906003985997e-05,0.00017188899830632154,0.00011873481174995426,2.7428301664689236e-05,6.775916076753874e-05,7.350768217562198e-06,2.7401929199477593e-05,0.0002620471453079476,2.1751920221690924e-05,2.9681433221240283e-05,0.0017509104844087159,0.0002370756220808623,0.0013192160051238577,0.0009892275033276388,0.0004130444298235114,7.49287194689724e-05,0.00016306538100135937,3.750635164156968e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025417317094881042,0.11553270571028129,0.02264573294499872,0.015057238603183976,0.0015723897370876205,0.003985017845710814,0.0008226818932932645,0.002296888739115044,0.00012438424571459272,0.02777323803408982,0.007081240059379934,0.0033608793973386453,0.00010651146122975241,0.0008387305649304455,3.30548094193972e-05,4.5737134433343485e-05,8.749219039927425e-06,3.5374119686792938e-06,9.454785962148549e-06,2.5609632290368722e-06,3.4879730377301854e-06,6.996224150568331e-06,2.3181519681614304e-07,2.9584189358278223e-06,1.8426946829408486e-05,2.0585853048871172e-06,1.3419714011142503e-06,0.00016249975266569017,1.5811363784479227e-05,2.981600271856344e-05,8.108464615363964e-05,9.016521359428431e-05,5.689379980355902e-06,3.124191650494268e-05,8.088048637722167e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10641105465120493,0.012378040853733507,0.033221758504765386,0.00026814580587730674,0.003463450915650146,0.00011616036554129572,0.005217823687459822,0.0006210448978125616,0.011262346971808723,0.013756503158781408,0.0015799604471402606,0.0008685559255279252,0.00011862837280740557,1.4499486440833209e-05,1.3013175188536508e-05,6.582737404059458e-07,3.716960039756856e-07,4.8865361281569264e-05,3.3801863520421804e-05,7.567435994726424e-06,3.997071652284134e-05,1.0482249844123714e-05,1.786368823974982e-06,0.00022454496776624921,5.026788089335099e-06,2.6340051317186308e-05,0.0010264403588106097,0.00017873492338482677,0.0007624531187022665,0.0007055964374886869,4.1250998205066836e-05,1.5104813084088065e-05,5.0963803803760754e-06,5.34884796010715e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4493827104466206,4.124874038508087,0.12097484984295792,0.545576573767075,0.03518541465331615,0.4715321353637312,0.028394263980170864,0.02235826400662469,0.004588547659571049,0.006947672832968668,0.000913013083361558,0.001154125002539086,0.0007209131199736873,0.0001894409443793793,3.0192431507591877e-05,6.870786476653734e-06,3.9736802861845e-05,1.051662240203477e-05,3.930235954241468e-06,0.00015759736126488844,1.701175413981737e-05,0.00011398163355136326,0.0011145055196523368,0.0002499038987722191,3.897934818497539e-05,0.011224055395149493,0.00029764175782076574,0.023466276233477856,0.00032825644485301453,0.00010980317031517028,5.533744621410985e-05,1.9796547302580736e-05,1.93869131959179e-06
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4071337446615917,0.024909770254410102,4.1467687101404875,0.11113431543214447,0.5329679579474007,0.027819646801046538,0.014149422907935388,0.00459126411529695,0.0033970648437928325,0.00020255353089249084,0.005219718981181648,0.011859515043860624,0.0004957349425505492,0.00015103708493169332,1.845780015008458e-05,0.00017498347281856563,3.643629476557386e-05,1.9433163114035423e-05,0.001235115751908461,0.00016185382439271034,0.0012200814522440595,0.008697226340402653,0.002310621494428733,0.00020969710876883596,0.13433740901381275,0.0018952745002914773,0.37647901410264484,0.0028329473135382255,0.0004442970702908111,0.00018795894528406132,4.265058030507307e-05,5.02766998244919e-06
