atom_numbers,value
N1,10.559491658474027
H2,1.9308376619466312
H3,1.9289016155150622
C4,9.618963508805411
H5,2.07235992146288
C6,9.616823728714103
H7,2.059560611050346
H8,2.054207819733544
C9,9.555336232408123
N10,10.453835256594871
C11,9.632338077736643
H12,2.0641543621949836
C13,9.689609577446328
H14,2.06998951565932
N15,10.386863783618299
H16,1.8703048181118795
C17,9.752518968218231
O18,10.958208359484518
N19,10.407927463101863
H20,1.895972567496307
C21,9.601352920877886
H22,2.0389273781012194
C23,9.635896471440683
H24,2.0850287209511382
H25,2.0605470153763608
C26,9.762048320693044
H27,2.0589439038621697
H28,2.0693666065683773
S29,11.139100567384688
C30,9.842991693038273
H31,2.0810671328110044
H32,2.056512805478049
H33,2.0768400094591914
C34,9.710193888452016
O35,10.88573433489295
O36,10.885775535586285
H37,1.7631760255727031
