 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,C20,H21,C22,H23,H24,C25,H26,H27,C28,H29,H30,C31,O32,O33,H34
N1,0.0,2.0687035866828323,1.7971682184623505,2.8825765821929132,0.08533930613296103,0.2062230492307781,0.015659942333549504,0.009288072687514304,0.03368071100695491,0.0035964770919596906,0.00716287792250575,3.3656575513352216e-05,0.0010718084676444306,3.7115614505589534e-05,0.0022678733200011264,0.00017839801975017,0.23316961591356314,0.05739928277154126,0.032060724065799406,0.005823555564548888,0.0002684608503843444,0.0012486413651590922,0.00026568243457902874,7.3168320173788715e-06,0.000772680147848176,1.9040703460038166e-05,3.944650644216452e-05,0.004277467956908809,0.0008765898006888317,0.0004322727414605154,0.0010847666289848512,0.00016873496657898723,8.410828318387853e-05,3.206489153084746e-06
H2,0.0,0.0,0.027155300944474714,0.10659279506489028,0.007352557523088832,0.031861382115470405,0.0007344070050219198,0.0009173691606729761,0.00455498223479156,0.0004787278421739538,0.001319794186344092,9.232243161294562e-06,0.0001839948351473053,1.5810550031414294e-05,0.0003104989532060065,4.1109196522226554e-05,0.007446717687193738,0.0016967406860619594,0.0005277242718381148,0.00010368031312391057,5.86425290771686e-06,1.4668776761928015e-05,6.0018250591653555e-06,1.080866852021245e-06,3.31000329644171e-05,3.2537665000109683e-06,2.9123339044812013e-06,0.00012279732416287104,2.229280415932955e-05,6.529431134438823e-06,4.051962590678748e-05,2.825638346937165e-05,4.065483081183707e-06,9.830732410343046e-07
H3,0.0,0.0,0.0,0.10706591001947907,0.03477467126772016,0.008810693373699885,0.00018915273382758002,0.005359900068636847,0.0006313401807762631,0.0004376157812250314,8.149943734403475e-05,6.252043864840573e-06,0.00012754847800977576,1.6582410746757148e-05,2.275553348785042e-05,4.8654914772683355e-06,0.021097248410364533,0.04849872158336621,0.003373487846101808,0.0003875752698361268,5.036592987428534e-05,6.22203998630333e-05,1.2567511842309642e-06,1.7182006863958321e-06,0.0003044865362002991,1.3032302930149342e-06,7.401431895148747e-06,0.0014469381020354444,0.00037547428924922244,4.862878632572176e-05,0.00010667595334878932,6.88526998141592e-05,1.245979913910844e-05,1.764578609897427e-07
C4,0.0,0.0,0.0,0.0,1.7914647225221894,2.7816511316176875,0.09011328758973924,0.08311378556040139,0.17793402339188805,0.022642622100784132,0.04743682711420713,0.00023569701864523118,0.007347786097056858,0.00011856550780331432,0.010779199121556365,0.0004957757805637009,2.55903525772134,0.2752723058415071,0.2036431775908571,0.035285201389173654,0.0020057386026754997,0.0050320466463659175,0.0013674105072591924,4.581919782498112e-05,0.00540952909338821,0.00011840157228970583,0.0003019230514378357,0.03148112804181538,0.007492374852845485,0.0021051063743349196,0.0054951578181726135,0.0012554437292396775,0.000968555224776374,6.234480665345821e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07973320321533728,0.005617108874283572,0.03298457049047987,0.0062886035754592395,0.006168640656358471,0.0007858381190409824,6.336467194922868e-05,0.000617731127150023,2.291721433178573e-05,0.0005180042379363536,3.6187066711601545e-05,0.09162543939802825,0.02111666304586579,0.006496509007002382,0.0012979951492955166,3.8891263709484036e-05,0.0007941497691528188,0.00010086248926821639,3.875391953567231e-06,0.002115480628539501,0.00015248277068269367,7.324756486148942e-05,0.021981324152572035,0.008745950149890325,0.0027217739190876777,0.00016862573007880854,1.6144707742027364e-05,2.9852921372364172e-05,4.33451916603822e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9080911018142814,1.8512823078240253,2.6846179079870782,0.19083296507270145,0.2548385858648091,0.004505157118587011,0.049453843969095884,0.002423761466468388,0.04562507655156353,0.0024220681057040006,0.18113087231807828,0.03842101711602515,0.02634074904032019,0.003834294852225806,0.0004718362632389894,0.000482976226743953,8.967671369419783e-05,4.645431867178473e-06,0.00036051647198934167,2.2472397357198304e-05,6.19475045793294e-05,0.002910629525879671,0.0005733275177060015,0.00048118249955830805,0.001150766255434671,0.0004170066123579258,0.00020461134900998101,3.879778517401622e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024148083915145557,0.10624500738076215,0.012304554081708385,0.03934133240863191,0.00020161498272597278,0.004588201616227527,6.051266090789653e-05,0.006689440101863342,0.0003531223223129931,0.02853813326496124,0.005349090067743423,0.0032257484950843907,0.0007133153371501333,4.970902024692414e-05,9.974793288136663e-05,3.1419909597873996e-05,1.309578194108596e-06,2.7991348448441755e-05,2.409197987773837e-07,2.8569321099958245e-06,0.00017971121564597237,2.99534383683131e-05,6.862840785504254e-05,0.0001787189257160815,0.0001262209753187804,1.88324441180443e-05,2.2712673377611736e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10759094365192245,0.023017908606627335,0.012278493751870068,0.0020107276088965342,0.0033856020732450087,0.0009049887243863797,0.0016096790540652828,0.00014598287777234376,0.010674419731759865,0.011129420839587345,0.0013006692553745314,0.00014793407614965837,8.286268029289445e-06,3.1615862590372856e-05,3.2798008020584746e-06,2.9120694478024234e-07,0.0002084460454032655,2.4917258583112556e-06,6.100370342210226e-06,0.0009344152396746352,0.00015590898125483754,0.00013628959583367184,2.0697971035321672e-05,5.822636068630871e-06,5.094983129616537e-06,8.525769263911798e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4722158731161747,4.046371696055989,0.1168713871874163,0.5467294557192496,0.03666637200419354,0.4881068346960841,0.02921538475191021,0.025165275891923522,0.005352642459193119,0.00451897028392273,0.0005463266755056373,0.00016897169071083962,0.00018427905944390366,2.971909265214734e-05,1.3774675234889955e-05,0.0004164538900758574,7.769947104407926e-05,1.4753014696777811e-05,0.004871805147716901,0.00748516887630557,0.0002351038443091369,0.001084339799674816,0.002292787026505566,0.0003154602869095968,2.8588775512261577e-05
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40941701869617225,0.0253923072046236,4.303033253579088,0.10981847423169144,0.5361653978806504,0.030270580862249208,0.0024359226239271947,0.0007638802260082345,0.0020117697477449736,0.0002920034026931695,3.687399235219324e-05,0.0004887290749589351,8.000899025129016e-05,3.744187748000449e-05,0.0015848385036996704,0.00040314541362085343,1.699625651885306e-05,0.022419171284109682,0.06096694765971844,0.0005601721708015095,0.00019054087870454262,0.0005591219916110668,4.493429310900576e-05,6.5104892648104595e-06
