atom_numbers,value
N1,10.515624976175896
H2,1.9378680539470459
H3,1.928438736794129
C4,9.620065374221397
H5,2.0748715322863878
C6,9.613966288494767
H7,2.060781800165512
H8,2.073506732304663
C9,9.556779795064378
N10,10.433172108942106
C11,9.595993296341788
H12,2.063887113019969
C13,9.67649599450708
H14,2.077031088653575
N15,10.360377687802846
H16,1.873669855113079
C17,9.70983045589501
O18,10.926054662077874
N19,10.317822622205528
C20,9.573878287630132
H21,2.0509346387393297
C22,9.61419967754103
H23,2.0741495892691564
H24,2.077396951372509
C25,9.632730778435766
H26,2.0692323374837187
H27,2.080504526402652
C28,9.62995841903997
H29,2.0536302763311998
H30,2.099185150561477
C31,9.763497656716135
O32,10.908257159050532
O33,10.90230883348628
H34,1.7661183014454986
