atom_numbers,value
N1,10.58417558141047
H2,1.9282773141230858
H3,1.9376355511927161
C4,9.619126289539413
H5,2.0530125371096464
C6,9.554550027878907
H7,2.076982707703741
C8,9.640668059429919
H9,2.0949016207686713
H10,2.082513430034158
C11,9.720247809894333
H12,2.0787449037605894
H13,2.0982776451280367
H14,2.0912721871072057
C15,9.726895880623523
H16,2.084126640456079
H17,2.0968182033853116
H18,2.0852943629364353
C19,9.715703497782533
O20,10.950197122586562
N21,10.38576691482294
H22,1.893991117862705
C23,9.59740126758796
H24,2.0435596209094453
C25,9.631970864282565
H26,2.063876186270524
H27,2.076111668817385
C28,9.647003361676951
H29,2.049045573423798
H30,2.0504809210696657
C31,9.755369084423474
O32,10.944150427965464
N33,10.443354950628676
H34,1.9002056301061445
H35,1.8897570293848167
C36,9.709255518723472
O37,10.911745371031147
O38,10.896677178735807
H39,1.7488304000470916
