atom_numbers,value
N1,10.545830207222165
H2,1.9345171091987585
H3,1.9263767352453893
C4,9.623945818353034
H5,2.0864618343982246
C6,9.556910255675332
H7,2.079572769807722
C8,9.64676803359543
H9,2.087578076691038
H10,2.0931864690351603
C11,9.716597443611334
H12,2.08565052680373
H13,2.091019916383338
H14,2.0824847004939535
C15,9.723195940215703
H16,2.0800920470251563
H17,2.1083039915886213
H18,2.0899327195661352
C19,9.747961999072587
O20,10.951263527044613
N21,10.402747525131382
H22,1.886870903695848
C23,9.600590524174246
H24,2.0306109048675323
C25,9.620806432976629
H26,2.0907025586698524
H27,2.078832613880475
C28,9.576044917528954
H29,2.0905964008692335
C30,9.719808092491903
H31,2.094396251955213
H32,2.088348723173823
H33,2.094200389464959
C34,9.725383351636719
H35,2.099063185921099
H36,2.070065867092703
H37,2.088866189741868
C38,9.771893917087068
O39,10.924399396268727
O40,10.911473972465043
H41,1.7562577163456985
