atom_numbers,value
N1,10.580827106889505
H2,1.9343716544124177
H3,1.9233918178289946
C4,9.618589363070685
H5,2.0877491344204415
C6,9.551657976249972
H7,2.096889327214978
C8,9.641121523708438
H9,2.0896090190401178
H10,2.076410924386447
C11,9.71503587967018
H12,2.0915489452290164
H13,2.102270783927712
H14,2.0730192229312854
C15,9.726348637274402
H16,2.0897498882033743
H17,2.0981752506986897
H18,2.089064913222765
C19,9.70577782997079
O20,10.943921723980466
N21,10.329508094484227
C22,9.585007768288746
H23,2.0449030793899707
C24,9.614700918862628
H25,2.0702850988959143
H26,2.0753860724997155
C27,9.632840891579788
H28,2.0669434658871633
H29,2.0772459913877173
C30,9.632258655144762
H31,2.0753888261308973
H32,2.0942252727095063
C33,9.783275314555189
O34,10.91947608500751
O35,10.918710496077356
H36,1.7611719855514476
