atom_numbers,value
N1,10.52979958389877
H2,1.9335303443557856
H3,1.9244981835181236
C4,9.612480248576178
H5,2.098664719956804
C6,9.551997597624535
H7,2.085628808009131
C8,9.633123947394708
H9,2.105436644797543
H10,2.06972442783211
C11,9.719060876354318
H12,2.097340806186118
H13,2.083388299788216
H14,2.0842187767413174
C15,9.726477606363979
H16,2.093184235377476
H17,2.097940201563477
H18,2.089158648792931
C19,9.71475323888848
O20,10.929477748944173
N21,10.351129441868004
H22,1.8859737643156356
C23,9.579785179858693
H24,2.029338312635083
C25,9.612396463971107
H26,2.0809049365377565
H27,2.0660815689604943
C28,9.452763513303168
C29,9.499505648312175
H30,2.083250973188026
C31,9.472062123646381
H32,2.0770111659384005
C33,9.55807258272378
H34,2.0866359011326066
C35,9.506306958055601
H36,2.064275514074124
C37,9.518477104018752
O38,10.912283381689756
H39,1.7689014677621802
C40,9.77342063934358
O41,10.927914471848085
O42,10.938445511806401
H43,1.7567268061784431
