atom_numbers,value
N1,10.504166833599761
H2,1.9297489784102377
H3,1.9373758973426147
C4,9.614868562545855
H5,2.0600752957212682
C6,9.612881152363727
H7,2.0781578469590136
H8,2.10144583834107
C9,9.576533919375446
H10,2.0857709054805067
C11,9.715919456460663
H12,2.099101785266229
H13,2.090608532208772
H14,2.0786583737250233
C15,9.713085816047604
H16,2.0963702650449987
H17,2.0907411386817514
H18,2.0943551904629327
C19,9.745435307935693
O20,10.941805677088666
N21,10.383274894794065
H22,1.9005951340685527
C23,9.59055029470219
H24,2.0341857519785886
C25,9.625969324082762
H26,2.075591236453412
H27,2.063602144092542
C28,9.750997116899214
H29,2.0674894937168764
H30,2.0746297133390126
S31,11.070059236212717
C32,9.836331588867532
H33,2.073523529964019
H34,2.0764622371968455
H35,2.056681310947204
C36,9.671272607450284
O37,10.910421681971382
O38,10.88698370959571
H39,1.7528299034359451
