atom_numbers,value
N1,10.51268112731615
H2,1.9222282238027333
H3,1.9145298735289789
C4,9.6288985190122
H5,2.088503867872298
C6,9.607778285017842
H7,2.050538982608188
H8,2.071529067855981
C9,9.629880056788611
H10,2.0945988022682487
H11,2.067253182460733
C12,9.650110703652821
H13,2.0716600394828033
H14,2.0549882665936003
C15,9.594026870829795
H16,2.041360088272433
H17,2.0471626329066703
N18,10.373604352220053
H19,1.8146675108784196
H20,1.8205695251385616
H21,1.8327918843608613
C22,9.645794178718116
O23,10.89092977743981
N24,10.328507847552467
H25,1.8829030845986128
C26,9.55716815126973
H27,2.0400179559834193
C28,9.621718060613803
H29,2.066970364633799
H30,2.0421513628064143
C31,9.763658593623601
O32,10.920870094748146
N33,10.435779905513167
H34,1.876886104701422
H35,1.8615026583024967
C36,9.680629996978743
O37,10.900477530369772
O38,10.864222024154353
H39,1.7407531605170612
