atom_numbers,value
N1,10.511508673480963
H2,1.933249419803674
H3,1.926437436225887
C4,9.629366337312135
H5,2.0863569241834306
C6,9.618023085124511
H7,2.0735042469877913
H8,2.0829471122279197
C9,9.647713101013371
H10,2.082420444090203
H11,2.0874232659308225
C12,9.63712615254379
H13,2.074975937870218
H14,2.0746234641838015
C15,9.609958768214653
H16,2.0668313358284243
H17,2.072503683949454
N18,10.417520780446797
H19,1.811302219307108
H20,1.8463951027593672
H21,1.8509432461754147
C22,9.706530402226573
O23,10.943082488905256
N24,10.386559823874418
H25,1.8853547285047978
C26,9.589822744113155
H27,2.0472316199251814
C28,9.629472297659955
H29,2.059066433669937
H30,2.0623763751390163
C31,9.897045451309628
O32,10.990667211323377
O33,10.953219708046964
C34,9.696643767816216
O35,10.922129352379098
O36,10.896429709926343
H37,1.7568595335385369
