 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,H32,H33,C34,O35,N36,H37,H38,C39,O40,O41,H42
N1,0.0,1.7382601262979134,1.9731842344776338,2.8177098320001193,0.104402787724592,0.19916973397333904,0.026951127237089034,0.005522220131026989,0.03220165798192218,0.0019386976479256468,0.0010471005672146871,0.004642139568505191,0.0008559464728492561,0.00011893897362580397,0.0005372550768843187,0.00033242278988654395,5.726178689913208e-05,6.483700474482768e-05,8.071381211172124e-06,3.3972687657812806e-05,6.431646752624864e-06,0.21569824847422983,0.04087139854602269,0.05484057784680796,0.08133740018018931,0.007032555400637269,0.0020618019062697,0.0005384179985641613,6.173146369004012e-05,8.295146215009375e-05,5.696825536789796e-05,1.7060059984363996e-05,5.471804448320405e-06,8.56286947378826e-05,1.2257842469082236e-05,5.262039017600584e-05,1.4379789353591299e-05,1.5715030023955023e-06,0.0011809201810641656,0.0011377561136004244,0.0002904246195592347,2.5201775598060472e-05
H2,0.0,0.0,0.02815093649116074,0.10707818309379713,0.005254787799421123,0.0325439779323049,0.0016776943798235688,0.00024412974817433764,0.0044454205891159004,9.41189307037682e-05,0.00026127675833986785,0.00083820779086341,0.00019596888160156034,2.9673428167065197e-05,4.988380354642441e-05,6.081054062301305e-06,6.278659344660653e-06,9.800033649254303e-06,1.1282741041451771e-06,6.003859293945979e-06,3.768557392813676e-07,0.005659600360003902,0.0010543466508812216,0.0072632430096336575,0.008496747826705286,0.0007461388778148281,8.719027680292868e-05,0.00027737907399649764,7.792929001881888e-06,2.5723139337907597e-05,2.680564464574431e-05,4.348834647283084e-06,2.3064818002183074e-06,5.565065262058688e-06,1.1054788957576278e-06,4.208256397242316e-06,1.1573743670112435e-06,1.537953255859037e-07,0.0005979409900436217,0.0024637374183295035,0.0002525897746471495,2.2028095018722382e-05
H3,0.0,0.0,0.0,0.10212540164207573,0.03607931631247796,0.01208524432763669,0.0008926954398165154,0.0043539693178267225,0.0011968599042234684,0.0006238702429430809,0.00012006047713497559,0.00012256261652543454,2.3107599773197762e-05,2.3703101899252843e-05,2.7596137355589967e-05,9.877671569791246e-06,3.611373206480195e-06,2.644179935007429e-06,1.5607032555209344e-07,1.3555771141149364e-06,6.542386861152494e-07,0.005159424172268778,0.0009284448531742262,0.007609653375550529,0.009903307067768985,0.0010158077417511402,0.0004360062865493841,4.090003014833865e-05,2.1343141026308743e-05,3.6799853586622078e-06,8.704490680466748e-06,9.23411804043539e-06,1.692018594123823e-07,2.5145022299888353e-06,6.658764747369261e-07,6.941917417457866e-06,7.416270446647388e-07,1.546138375108086e-07,0.00014287038270055508,9.177524827352901e-05,4.9668800452540296e-05,7.533085968569608e-06
C4,0.0,0.0,0.0,0.0,1.9341032441115853,2.441088026067532,0.09745940949147269,0.0797097178789492,0.1510121784440666,0.022151693259437222,0.009631524509863487,0.015814756995922108,0.002025424566339362,0.0006786413539754399,0.0020483953483901307,0.0011741268275866634,0.0005826544157991886,0.000264328288806126,1.8145031365324193e-05,8.319396787048738e-05,2.605046992332216e-05,2.707064490968817,0.27750409380026514,0.21516210697398538,0.015056543217750629,0.03702051270509263,0.00607347291747784,0.0038518117745330316,0.00020126596203517977,0.0011279317782788567,0.00041918161950280086,0.00026504866965493257,2.562297800112745e-05,0.00030327381850001056,5.485191436348236e-05,7.006125434975974e-05,1.5227042415633107e-05,2.368746363945462e-06,0.0031325268169811182,0.0003924432944021755,0.0010147593352304585,0.00021116305108381805
H5,0.0,0.0,0.0,0.0,0.0,0.07929996988678312,0.003895322367732046,0.0325711949700469,0.011772661382547067,0.005560630480094364,0.0003412602846573076,0.0009480524327165618,3.182342495655632e-05,0.00031068969338132746,0.00023666603964866972,0.0002661702935733423,6.578526035472265e-05,4.276659649171677e-05,3.7428885677481816e-06,5.368114807779989e-06,8.263724013080065e-06,0.11057015229014966,0.018533278942251874,0.023595128511526453,0.0016508040590497153,0.002815798790817281,3.538083369347689e-05,0.000173156609068692,1.3940529093092735e-05,5.58320457022532e-06,9.177606172483532e-05,0.00010596809443641497,2.0730334839846876e-06,8.377849670004878e-06,1.8925469398300976e-06,2.2725313888471987e-06,2.8726230394404695e-07,1.4856043262234664e-07,0.0010694271291153967,4.826085567832816e-05,0.00026467295630427934,9.532049320126745e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0466732204042906,1.9530812726306654,2.7391451746322373,0.07602309445769384,0.08651721738436668,0.1562334882064248,0.02718478299736593,0.00824241836076034,0.021382403272792255,0.010835238017764537,0.0008486068293958038,0.0028246700978402373,0.00015532016927854997,0.0007486402123593194,8.756338345294878e-05,0.18643796963995354,0.034805820131648096,0.025862117309041865,0.001672497712537857,0.0033722680273544914,0.0003628870312221144,0.0012568822634343446,2.3839904011779822e-05,0.00016211582155012394,0.0001724133021818175,0.00012099999887205115,5.14735769352459e-06,4.8087964994059096e-05,5.33131528302061e-05,1.1671245014180376e-05,6.0630879797907156e-06,1.2677957957896169e-06,0.0004256179668662152,0.0001065168452826365,9.246410783179948e-05,1.5712381243426776e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025472469872916736,0.08841536372288517,0.007198099802459668,0.015242660945447906,0.010408942431140322,0.00029332582820029707,0.0002116827944071975,0.0017563252668533202,0.0004878321599344204,0.00020415570527698712,0.00029247660893083616,1.7370615357004127e-05,8.780799104401993e-05,9.503496551710455e-06,0.0297903251660796,0.005447494609686743,0.003401162913480471,0.00014864839194261847,0.000718669199187616,0.00011543334522645665,0.00021663416999562202,4.4171301634143845e-06,4.6184871035581665e-05,2.275239157778497e-05,1.2496224155889024e-05,1.3408740247022877e-06,1.3055570370790193e-05,6.424346279843007e-06,2.4711989402570467e-06,1.0876970513162831e-06,2.2566338353513515e-07,3.182130137302508e-05,3.6219234068601835e-06,8.861077073651913e-06,1.1162317565815982e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07115124646585347,0.01242596755228953,0.00805880038515161,0.020399081533811758,0.0015345799927595216,0.002854233977964915,0.0069012098669452016,0.010486213997222382,0.00012988890123932784,0.0007908690610665126,5.5217671453888784e-05,0.0001991850331097833,3.5499725238308244e-05,0.011594353329240192,0.0009982819573773893,0.002566956344469906,4.874888330985705e-05,0.0003408208255577527,3.1670185117294025e-05,7.185182939273282e-05,3.2969631229562424e-06,1.2946365824273443e-05,2.4315795976059817e-05,7.043719980592833e-05,1.3820981430434642e-06,1.501759140132286e-05,1.716971938225953e-05,2.635550843566037e-06,1.5874149994488107e-07,1.11110350697885e-07,9.620750016603452e-05,7.0664111453400125e-06,2.4891784259573058e-05,9.700830194248056e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9806198697634163,1.9577382422412,2.874506909809382,0.08675574941143771,0.07827677543632228,0.18953072821075975,0.006101744370466067,0.009100166439103163,0.0380621879562833,0.0019983613419002344,0.0009872208127671422,0.0013203118678689618,0.012276252928441062,0.02354091425498861,0.0029702205638378887,0.00023516505146670141,0.0005387011733447022,0.00013612942075702517,9.623190041999075e-05,1.0788273290041062e-05,1.4422963564575397e-05,7.561877769482472e-05,8.359626043619173e-05,2.125164024868731e-06,0.00015242865150166818,0.0006524957420415839,6.15309783072171e-05,8.308993958094923e-06,1.0884760275331473e-06,7.931781613440547e-05,3.536850722483942e-05,1.1968020990127393e-05,2.2234211404237314e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027011369206275893,0.0879508913299909,0.0040469767154622804,0.032143715959613406,0.01102355552783063,0.00016511536235053192,0.003968945477266672,0.0008006405703309127,2.541111427145637e-05,1.0607652313643356e-05,0.0004825495669045221,0.005967935799614077,0.028339079924180055,0.0016131809726409596,3.604681858027092e-05,0.00019590638502409163,5.522769042021203e-05,2.562885675350124e-05,6.286497945984237e-06,2.8309754902533513e-06,1.0611841544605483e-05,2.3176131519253573e-05,8.571812954993874e-07,1.056567166179967e-05,1.1283136526318849e-05,2.3784146077066026e-06,1.3727374970073924e-07,6.102793448370392e-08,1.9188760854049747e-05,1.5379901015299957e-05,2.2517998997662048e-06,2.242088159576383e-07
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09935420796726069,0.0057591743011657925,0.004422446838264094,0.02965277819029799,0.0006155813627732876,0.0005598412862628521,0.004301017787628703,0.0004463227660722602,7.441958754172973e-05,9.986733021061234e-05,0.001611354011458399,0.002036138201685689,0.0006618084883539543,9.517868317265865e-06,0.00011314081553903677,3.0496234960653013e-05,2.935139376769591e-05,2.669878758965183e-06,3.2525886914935853e-06,1.5048551397334187e-05,2.8610666256589923e-05,1.9614803270506798e-07,2.198380655893395e-05,5.4180292571426314e-05,2.5865951908121687e-06,3.7541728437062716e-07,2.0826413327235116e-07,3.0676174827437563e-05,5.5267265062219906e-06,3.824267154950434e-06,9.512028076308354e-07
