atom_numbers,value
N1,10.55500122475206
H2,1.9153468102193172
H3,1.9218126442547627
C4,9.628337030063367
H5,2.0708103727677507
C6,9.624054158982046
H7,2.0455858484893215
H8,2.1121289873039117
C9,9.64130149063719
H10,2.072506716685141
H11,2.055081264253193
C12,9.640366404557083
H13,2.0409191292020434
H14,2.07664412699064
C15,9.601276081064487
H16,2.028759861835515
H17,2.049189353976945
N18,10.391261735673876
H19,1.8275812010037946
H20,1.8194837109369193
H21,1.8329393267971903
C22,9.694890876584745
O23,10.950259407945012
N24,10.37628105210145
H25,1.8694252703652912
C26,9.590388479678616
H27,2.0219730800168607
C28,9.608996586949063
H29,2.040393672843023
H30,2.056734137812829
C31,9.47105288939472
C32,9.551889501909404
H33,2.0799385737032017
C34,9.519709309322273
H35,2.076187563446403
C36,9.50642739753999
H37,2.063394886648985
C38,9.504341097381685
H39,2.0631020906008355
C40,9.503214595058536
H41,2.0612817940043695
C42,9.77902522858712
O43,10.915551828753284
O44,10.907753822020613
H45,1.7432002812056393
