 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,C25,H26,C27,H28,H29,C30,H31,H32,C33,H34,H35,C36,O37,O38,H39
N1,0.0,1.961415414461244,1.9679891983147386,3.049536933448692,0.08399852962051624,0.19308648812407503,0.009024076945959858,0.027167592819407727,0.04874148518356544,0.0007883061481674947,0.05783992489924328,0.005366103478817483,0.00026886288656069457,0.0010210407532199595,0.000843073861263699,2.2035934950759284e-05,0.00014118050475775412,0.00016665859559814034,1.364889498234323e-05,3.762260985862298e-06,6.635475064964425e-05,0.2209816985386779,0.06066122112957523,0.031759681203730725,0.006333562758582961,0.00022390436182473383,0.0015426927946158853,0.00032708787956037266,6.504942709262274e-06,0.0008337749863950444,1.3709315547449918e-05,4.952973550675921e-05,0.005123329226570661,0.0009279756037290365,0.00033741302342282786,0.0006886051440380403,0.00017582371077667913,6.292947999290976e-05,6.632429760622394e-06
H2,0.0,0.0,0.02877564522240017,0.10795910672077413,0.00940679249662213,0.030397248457553983,0.0010541180227123803,0.002038800247928352,0.0016413118959612838,4.243245170143517e-05,0.00045773374919066967,0.00023045600883486728,9.629002289734956e-06,7.472540293074204e-05,5.890480083603489e-05,1.0433334860504573e-06,1.5552302863319767e-06,1.0344793673455754e-05,1.3991058036566528e-06,2.837318195947347e-07,1.6161639919687332e-06,0.005242480638704694,0.0015964109883152,0.0002776760741488582,0.0001101266623347863,1.6820140047446586e-06,2.1399015604273153e-05,4.849529816830511e-06,5.250773482678994e-07,3.611650402313149e-05,2.7396523050171595e-07,1.1900912266771257e-06,0.00012509433621499255,3.5258869485632616e-05,1.435567868868226e-05,2.9123793355401162e-05,1.9193647822324245e-05,4.108066879338068e-06,7.099267855803504e-07
H3,0.0,0.0,0.0,0.10624687927900833,0.03209751061085808,0.006915474295719037,0.0037205049032691395,9.316514647150775e-05,0.0007251976363114032,8.065375402788177e-05,0.0003505143701021396,9.992344393272568e-05,1.250106491923475e-05,3.921859794320248e-05,8.983119441863252e-06,1.182460100723759e-06,3.7880283805247217e-06,2.0066922900019435e-06,2.1505987635173085e-07,5.789166519498679e-07,1.105381380872572e-06,0.03014186656591933,0.07786057422020032,0.004713350225985624,0.0005803806892636931,6.260918202705135e-05,0.00010132434765885989,2.6793173879546828e-06,2.460623518274474e-07,0.0003940130756243665,2.1718802345471744e-06,1.5339380013745796e-05,0.0015810021591663448,0.0003607786014736547,7.545374410189432e-05,7.211943464147108e-05,4.517189932284893e-05,5.328979200025508e-06,7.7557867705913e-07
C4,0.0,0.0,0.0,0.0,2.045213387257693,2.7100918704811474,0.0855569328823107,0.08334794946296364,0.164745405335624,0.00563723139755079,0.0157661823966726,0.032523261149814325,0.0010043615861754507,0.0007818114570807833,0.006505290373215761,8.02831652376712e-05,6.214406734839084e-05,0.0018971875194623566,0.0003224050835552994,4.579229087298131e-05,5.1518527488414456e-05,2.6205604071475896,0.28790671539071516,0.20759201308408512,0.03571380802337862,0.0022180947090353342,0.005379933438859175,0.0015051028379926557,3.7643093478756384e-05,0.005322226349283754,0.0001046618924720466,0.0003386219386993794,0.030399880264654705,0.007347660843637138,0.0023836874139508968,0.0038635203579574506,0.001348267454233068,0.0007037899660171654,8.848549915074777e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07979771815830095,0.03454768960565535,0.0032224527707007677,0.009271517531612483,0.0028540082117527454,0.0003027832795756691,0.0009644143018243678,0.0003583964350752922,4.377069531735778e-05,0.0001499686825354729,1.6774421387921734e-05,1.1148731625887365e-05,3.8478451606760444e-05,3.7139053949974965e-06,7.815588340287505e-06,6.746368850230056e-07,0.08781888675888516,0.02247286815246663,0.00624411818595183,0.0013181062686644651,4.017592654625979e-05,0.0007398497474646604,0.00010109890980181113,2.7141014844467293e-06,0.0020331894115650506,0.00018517193104150564,4.728287080757454e-05,0.01910926522402767,0.005201874854447119,0.003557155729811523,0.00024274248125188969,1.781079588614176e-05,4.195171398135855e-05,6.116789388777022e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.067268863209925,2.0610986336215826,2.7998376971213403,0.08032609988651296,0.08823775460516647,0.18108931217097873,0.011515955142809453,0.008415503467084529,0.03678058041329986,0.000803553052929451,0.0009551209115871151,0.0075971652034855786,0.000960504084682734,0.00014553205254830281,0.00016622525910570118,0.20345985837803066,0.0448152493799249,0.025742456767595137,0.0032340749648399614,0.0004800095991984721,0.0004980515207908265,8.145705942430581e-05,1.5511385343058848e-05,0.0005875708343384689,8.062406421327495e-05,6.632231032188685e-05,0.006638633170932412,0.005087142109463594,0.0007372546192077056,0.0017611037347037006,0.003028522453308133,0.0004995286600009835,7.642834957555245e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023755042284341332,0.08336763558887572,0.032771616857007135,0.0031903822361574186,0.014207272964772977,0.0062456324565403065,0.00022879226553573773,0.0013958547055477055,0.00038107959646915823,4.431542726557325e-05,0.0001457813543824793,4.32452254237603e-05,2.6224094130222753e-05,2.065763840919388e-05,0.013025149441067363,0.010388683906453866,0.0018939707363752056,0.00011723556751297437,1.025448182012667e-05,2.6557270058846782e-05,6.610183125088653e-06,3.252035780221263e-06,0.00010336677845335096,1.867449043269076e-05,5.5097483075972065e-06,0.0007728997466835974,0.00018439799313241245,0.00021590463377307856,6.40618735054943e-05,0.00017586798606861187,1.8579969159882026e-05,1.9129702448772434e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08647445996133052,0.006558195861099847,0.032224602255027435,0.005426849465983041,0.000160509951254717,0.002672469162158686,0.000847140631729637,2.5404322245847766e-05,0.0003200658236366394,9.992128669700229e-05,4.868480943498454e-06,1.4067764824599038e-05,1.4354127573890096e-05,0.010159471134239872,0.0017041002227725643,0.0018785473303946087,0.00029640055926649644,6.122404300445972e-05,0.00015516520370928433,2.127054595835176e-05,4.782280538906392e-06,0.00036133221683432026,4.654401040227185e-05,3.056240385834741e-05,0.003719446576332608,0.005813758556039161,0.00013010957471881746,0.0010788406325976663,0.0064146248904356495,0.0005071436224238779,3.1567295315948485e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0777350500915928,1.984485246591273,2.6975002418132945,0.07931068836071065,0.0794441291573662,0.20291317413282434,0.007619002620966708,0.009358054079965927,0.041640489617288834,0.003918217873155383,0.0017055784406980745,0.001791510333915225,0.029593921181488347,0.00943493383039494,0.004547026430887377,0.0007505732678652066,8.432912152955829e-05,8.376471380172612e-05,1.41773187526395e-05,1.5587116543036572e-06,0.00010223305379775116,5.401364101320638e-06,1.2043713916387588e-05,0.0006589639593527485,0.00045657858174963373,9.06090462022835e-05,0.0003989507929765268,0.000353001497108027,0.00012063721636944302,1.9161431660585926e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024377663509536962,0.0847735494178512,0.03395558332418647,0.0049712513464519326,0.00912966219462441,0.0035639662286430784,0.00015864030967160936,0.0008034507480335629,8.166683463017854e-05,0.0007339984031300428,2.810133261732517e-05,0.000756483380871753,0.0005158385178318792,6.9053324238455e-05,9.962190480772293e-06,5.97209015795741e-06,3.2447467863683244e-06,8.85405238015835e-07,1.2222123513261351e-07,8.57741815973867e-06,4.4259824225623134e-06,1.47664457994523e-06,7.212896211483688e-05,3.099710256027066e-05,1.2408115847684087e-05,5.343383437050875e-06,4.430060687732329e-06,1.5924012828349987e-06,4.3407574401577165e-07
