atom_numbers,value
N1,10.589891220604901
H2,1.9204064808611105
H3,1.9169620390971975
C4,9.628283420360807
H5,2.0845661572979433
C6,9.621262598939706
H7,2.071776160540674
H8,2.0763635692768383
C9,9.629603758203425
H10,2.0865021398266435
H11,2.0557631639293237
C12,9.64853342619287
H13,2.070281959310024
H14,2.073304149475109
C15,9.570054634341188
H16,2.032173439349962
H17,2.0284761945989733
N18,10.365195780072106
H19,1.795376431003357
H20,1.797832346386131
H21,1.7988273245517128
C22,9.743301891835731
O23,10.94321206674066
N24,10.343882217262024
C25,9.565994250835802
H26,2.034559279265082
C27,9.611473939916655
H28,2.060970189348461
H29,2.0670054950860584
C30,9.629164254057589
H31,2.0683513921663836
H32,2.0676283951765413
C33,9.62943531357225
H34,2.087575750056181
H35,2.085986394107532
C36,9.789804881633074
O37,10.921558847735275
O38,10.917333550398977
H39,1.7531095848627878
