atom_numbers,value
N1,10.596940169997305
H2,1.9343505203416456
H3,1.924232942403789
C4,9.628299737674464
H5,2.094566846070578
C6,9.628659475708755
H7,2.0636452052720293
H8,2.079313748987359
C9,9.777584495725515
H10,2.066192160568657
H11,2.0734530220132106
S12,10.975291516127479
C13,9.83761503841605
H14,2.0642839055655644
H15,2.06072888198688
H16,2.078185155091398
C17,9.742935052254522
O18,10.940713643678606
N19,10.398468866045668
H20,1.8920395161929935
C21,9.610848062111117
H22,2.029424939065138
C23,9.707635528189899
H24,2.067181502302511
H25,2.0819049173318
H26,2.0604047122790643
C27,9.711822749210109
O28,10.888844366275052
O29,10.87822291970111
H30,1.756734632455763
