 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,O27,N28,H29,H30,C31,O32,O33,H34
N1,0.0,2.0109796998798073,1.8382069305893527,2.921198355434201,0.08693415544846217,0.20430597171109,0.01854652193165518,0.007355285284744939,0.03517261563900115,0.0008244349020717356,0.0010676429681462096,0.00667732890606873,0.0016146469373020528,3.2219578196546195e-05,0.0003279066686968646,4.509757487924926e-05,0.23657063205545223,0.05203705392885249,0.03805826281640211,0.0022385216228721916,0.006815750578010024,0.0005523887128721094,0.0016879829300130086,0.00010097341287207406,1.4919397902102283e-05,0.00046089838585806897,0.00013966621679478708,0.000108350079523159,6.186586951617556e-07,2.638321901682339e-05,0.0006164632180055696,0.00020242137278429773,0.00013766271094278748,1.1023112093666576e-05
H2,0.0,0.0,0.027269337363651003,0.10810055113165151,0.006830218396985277,0.03229855502007917,0.0010132809116358832,0.0006827301023439869,0.0046785585530226825,7.490583207170332e-05,2.518206555990332e-05,0.0014877739601856232,0.000421980893790197,5.537467507421567e-06,9.694748764155214e-05,8.176893482092495e-06,0.008129044990039747,0.001919693055731586,0.0006475213125228807,4.767813086292705e-05,0.000152282135944648,4.062563914164485e-06,2.5339362421439304e-05,8.191821923242415e-06,5.912637808247467e-07,4.577645386860674e-06,1.6601651550152141e-06,1.6997901204351962e-06,1.818411354825855e-08,1.554883946042196e-07,3.793081260639042e-05,1.4924620348577555e-05,9.888609626029776e-06,4.6473352544040836e-07
H3,0.0,0.0,0.0,0.1090862290379353,0.036310775688178865,0.009193838148084055,0.00020623438363887026,0.004855201261520392,0.0008892354482942233,5.210538477840032e-05,0.0004806342161474131,0.00019457388016974608,2.670034905449814e-05,5.332677844194222e-06,6.513201350921705e-06,1.2060338672181814e-06,0.0185734080242268,0.04128048391379335,0.0034543269067500715,0.0007872372437363051,0.00048717087171212814,8.506413154107939e-05,4.8764007372192886e-05,1.187207913533328e-06,1.2962215351075557e-05,8.910802773764992e-06,2.9532850009950096e-06,1.8746768446487039e-06,6.835731647392151e-08,4.0117227451119675e-07,4.23826289611684e-05,1.2916142610785997e-05,3.51891121508352e-06,1.0791082711847366e-06
C4,0.0,0.0,0.0,0.0,1.8127780805316107,2.7399871841754884,0.09445689533422064,0.08552182074234782,0.16024056320799354,0.005566649462287687,0.009751757493447144,0.0403580229989413,0.006951395644528707,0.00010137130784726445,0.001152703597115723,9.860289789376253e-05,2.6499269385082127,0.276762147265275,0.23099110571578138,0.01927367022729054,0.03543764305608818,0.007788865646459309,0.003873661941620768,0.00023907866512917764,6.988344656622125e-05,0.0012488481679418795,0.00032340204156980357,0.0002590010997850084,5.136861435772744e-06,6.074241453613016e-05,0.004132462862475067,0.0017342536676463044,0.0007080950094068006,3.43915385809801e-05
H5,0.0,0.0,0.0,0.0,0.0,0.0791468782557736,0.004350987684406116,0.034590910831229005,0.008718043379909446,9.99065821911671e-05,0.004947489975488217,0.0016444759792132446,8.632640047356865e-05,2.77833323329979e-05,3.176081235767292e-05,1.09233417580068e-05,0.09182511121044934,0.02233407062354953,0.01237628579045058,0.013303793229121563,0.0020993477780764103,0.00032188069004668307,5.102825043856729e-05,1.267370044444327e-05,1.0946769147812674e-05,9.428957735480026e-06,6.706241560627824e-06,1.5870024833164464e-06,1.8841398818914001e-07,1.0986733833817652e-07,0.00017283195716277788,7.454401997164517e-05,2.5113688617572905e-05,1.5052869644094358e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0072795113594606,1.8463415998767585,2.7846654570991887,0.08308947917181086,0.0837245233038173,0.18447783210462823,0.03338764189383529,0.0008260225552720879,0.00413781406897451,0.000779888965424691,0.1827849934735915,0.03778858351466133,0.02879555984884108,0.001339149033188547,0.003643380956155795,0.0003739037749230789,0.0005296880896821371,6.46677948685781e-05,7.21731940833692e-06,6.277615741559495e-05,1.356317774921234e-05,1.6783926178043362e-05,1.3651900606648226e-06,2.7895494645324703e-06,0.0014468072215912953,0.00048762172496655265,0.0006666599580359978,6.423853045622874e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023546657419807326,0.08326649957730692,0.034101002317424856,0.004111919827397337,0.020175595626273912,0.0016551570863715392,2.1548804771009955e-05,9.041665839637503e-05,0.00047519346806201845,0.0297089395775596,0.005440831530396983,0.003221974472926714,7.449059491704269e-05,0.0006965387585102789,0.0001081907653490699,5.377067781842104e-05,6.113523945527888e-06,1.7923724051627232e-06,1.5022753166560321e-05,3.387574372459845e-06,3.1356348861866223e-06,4.194050624573009e-07,7.896425218145708e-07,0.00016995659636642735,6.585584601059846e-05,0.00024851578828943843,2.280587060177197e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08546552954963804,0.0055095161576188545,0.034313495035736,0.014833476933666656,0.0010932328844894812,0.00039203485758032564,7.367081073872406e-05,1.9633739282598484e-05,0.011732494540592331,0.009904746135550702,0.0018613225015318147,0.0007116865714453802,0.0001911247555439477,4.388855583581375e-05,3.777212113031947e-05,1.5067703300619684e-06,1.7235685472183349e-06,5.802865353121689e-06,1.2920822282103117e-06,1.388839136029496e-06,1.896710410953517e-08,3.7788177054132177e-07,2.382097969011454e-05,1.2013922307207991e-05,1.5429827867508017e-05,1.014612872607401e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9986802001922463,1.8451373059726435,2.727726072656241,0.1177149195707432,0.00857102171204116,0.027012311614421525,0.0087191690806796,0.01788656255233767,0.004439484345462735,0.010710350737241095,0.0015591641665502198,0.0007990939636727673,6.965252857449311e-05,0.0003174099968707156,2.121279118838526e-05,3.2960642608603763e-06,6.531192057657176e-05,1.3605179809639267e-05,1.638275690252211e-05,1.4530493193110061e-06,4.807012290108936e-06,0.0011567531300800404,0.0006729078522450666,0.00604403777569916,0.0004792187028286321
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023222743773482213,0.09005706104772115,0.00854456387074487,0.000858453109450652,0.00043360187538432626,0.00437692965382408,0.00911187777545952,0.0003608649367929928,0.006025944584470366,0.00028990553719809853,0.000343000822309536,1.2792899795943669e-05,0.00018056542050215452,1.1785453537305202e-05,1.7754374561640418e-06,3.1122993906729235e-05,4.788361851137957e-06,7.695007771313378e-06,1.0466849011958601e-06,2.847849823517379e-06,0.0023582184404724593,0.0015786602782804637,0.02206593489251585,0.0005958482909547147
