 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,O27,O28,C29,O30,O31,H32
N1,0.0,1.7644408844140886,1.8488766435325825,2.845404261754033,0.08573599963144762,0.20222905526247598,0.018729837159237483,0.006760102715043681,0.0339556946760015,0.0009504908454448513,0.0007368453348209902,0.007466881747301118,0.0004098034454902283,0.00015690947285151857,6.60336520208471e-06,7.769464267814996e-05,0.20885193771869778,0.0557898247959446,0.03795171361733078,0.0012770044963343885,0.006834826492458673,0.0005919655583971339,0.0008731822246213772,2.6304301013579945e-05,0.00020545089889645318,6.788817129135816e-05,3.4696231373393394e-05,0.00018908603015146963,0.0010717300420081954,0.00021904048117508956,9.666207367386992e-05,1.5561237734162958e-05
H2,0.0,0.0,0.02692390373897835,0.10743730229847348,0.007923809732239828,0.031714495284637434,0.0009333013035841553,0.0007155193035766061,0.00446762232336162,6.685435304598641e-05,2.2431753331275672e-05,0.001853028451906491,5.9386085163648517e-05,3.6978743926940894e-05,7.17534395677788e-07,1.3788302430262078e-05,0.007447784425280934,0.002048552462293074,0.0007205381365984476,4.3432517629282685e-05,0.0001671344414619913,1.5181902064176356e-05,8.046178708420726e-06,5.958163129538008e-07,3.849937993294361e-06,2.4117308109472546e-06,1.3240206903075702e-06,6.471584366396499e-06,4.988369531644388e-05,3.4418972339578247e-05,6.45972239721182e-06,1.179053722877299e-06
H3,0.0,0.0,0.0,0.10371687231736437,0.03501236703635291,0.007806743416267747,0.00020124007450617043,0.004520178645565975,0.0009498872450907081,5.300273128350241e-05,0.0003614533770261996,0.0002188598009704723,4.039496899377326e-05,1.499995311449176e-05,1.3059243422208766e-06,1.1514611956364718e-05,0.025458166908799984,0.06696724172887092,0.004349349705807026,0.000616070010620362,0.00046691466111103974,2.168274615632626e-05,6.249958428405922e-05,2.7768110362202947e-06,8.470606051469431e-06,2.6583809086155874e-05,1.4076196420576004e-05,9.410554981570396e-05,0.00018839424415895145,0.0001433536650397027,1.5891593479477883e-05,4.3815809291913865e-07
C4,0.0,0.0,0.0,0.0,1.990934806345489,2.582302682426873,0.08840568339667554,0.08323753416621615,0.15755971167732863,0.007867127543133456,0.00602548803664571,0.04485544827304691,0.002116915077836179,0.0011389119973665984,4.455234720968093e-05,0.0003613261523527367,2.6569727120449325,0.2799110241123092,0.2455300622449056,0.011744849601598495,0.039419700757956505,0.0025512446717443904,0.0040002343137768015,0.00010186165234293831,0.0014070065922069386,0.0005330558066168611,0.0001406547367498595,0.0013291350985630002,0.006638207658961004,0.0016030839646469786,0.000993439222533754,7.69927425116057e-05
H5,0.0,0.0,0.0,0.0,0.0,0.0777685372969441,0.0038727899269281885,0.03459772376189729,0.008407823533726155,0.00014118847683830538,0.003209469763146844,0.001103282497025404,0.0005646259776443951,0.00026804817352732435,6.77467269039056e-06,0.00010547614415234996,0.08920814042975245,0.021284214230947174,0.010999486683275883,0.0077565203024498874,0.001570372729034819,0.00010375478150526085,0.00012780451760507905,6.330405891041835e-06,1.6844512912062015e-05,0.0002235390366560619,0.0002294010936498836,0.000733849700657152,0.00039620144358476495,2.573032745312176e-05,7.272997743135168e-05,2.4197321400354355e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.040793234334556,2.0102231947803073,2.7489903854394675,0.08527395678613114,0.0830304346569295,0.1937414515769105,0.014670334917737435,0.005521410228118917,0.0008465135490487441,0.001576977962029602,0.18440231145588734,0.040666827171891295,0.03280213780176766,0.00116867041948443,0.00368498977125728,0.0008069890259967405,0.0005350468889565446,2.9098397585469726e-05,0.00011115874143841076,7.99715576572102e-05,2.1840414074325576e-05,0.0002571291791458735,0.001173648083112766,0.0007782891718908086,0.00018975417508371173,2.5894677855964332e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02353089949107412,0.08362766197932348,0.032382041998447075,0.006556062862051126,0.011873584547572813,0.0005797756095820006,0.00019262960549526476,0.0002472712600321003,5.581993615488834e-05,0.02914494396163181,0.006148957663761001,0.003300242638090145,0.00010782139332476959,0.0006430219273803051,4.758747461375279e-05,9.536982758928669e-05,7.851775182254883e-06,3.9316989021154214e-05,1.5226033119652982e-05,6.972589607467938e-06,5.711200946700856e-05,0.00020862083389783237,0.00018530799501736972,2.9517995534744657e-05,3.55975126153929e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08127565153227456,0.0036342508434736853,0.03250608093610996,0.012505891371839772,0.006265383025899185,0.007906909626936853,3.561369158933125e-05,0.0005961847367730311,0.014290584489735192,0.014106435051859822,0.0022169798486693093,0.0004082371428153486,0.00018085325728067758,1.6367632542202415e-05,3.4073124774769425e-05,1.9816396634730893e-06,7.680741533899749e-06,1.5161997964918683e-05,4.619798045335521e-06,5.820990276494964e-05,3.756823127143427e-05,5.734231541210111e-05,5.399691212604196e-06,7.182239509795352e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02256772986086,1.9843031402035787,2.645335535651487,0.11616830512513071,0.005137565262990362,0.011876765253307164,0.0265763035012776,0.018846245375514464,0.004120329726553296,0.019245625121265958,0.0005399046891579884,0.0015394917959695442,0.0008908941195777675,0.00010562791912696601,5.851678877899502e-05,6.415983771157485e-06,4.210147664066022e-05,1.4268235348724456e-05,8.759095167053255e-05,0.001749392278299483,0.0075859813672148335,0.0007712127450147932,0.00010990282978817767
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02684074515247925,0.08865132097858297,0.013176980868239374,0.0005703485250581064,0.005871904391777649,0.0006987365146424729,0.012953806458771311,0.0008368444748780846,0.023284255969635015,0.0003987951770796361,0.0019360843312341558,0.0013173301175424257,0.0001517357007726483,0.0002226294212566149,4.407191630084739e-06,7.928164122583681e-05,2.839862823700301e-05,4.398856437293208e-05,0.00485507399625873,0.026251769658308777,0.002012636698501158,0.00013266311765525174
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08939816735787975,0.024943633038804536,0.000204171744505377,0.0006395349162615638,0.0014066397347614057,0.0006242140596517398,0.000322451181897665,0.0003133459630912938,0.0001494764232163881,3.868390453010129e-05,1.37017477188639e-05,5.85090776195063e-06,7.1743643803579e-07,1.5563083710645742e-08,5.682152109054428e-06,6.0934762821096555e-06,2.89296318429777e-05,4.4378670313705015e-05,0.0001031604238829198,1.0599176244019404e-05,3.929037254435386e-06
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8268229207880173,0.09845145571256919,0.0925245137916707,0.08769221666746974,0.0039054288478662103,0.001024307107445794,0.003302897248605177,0.00021541977175409954,0.00043244911693814114,0.00014564828895391457,2.4409454905838235e-05,9.305403140813517e-06,3.2064515059770926e-06,6.134733091744948e-06,1.8112694733542212e-06,1.630292844420622e-05,0.00041755776230788244,0.0011862030665819312,9.35325233603207e-05,1.9192300407144813e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0561300560522917,2.121323736283621,1.9482148788659817,0.00030078257077337245,0.00015608832817673446,0.00021643810276682218,1.3613137944346043e-05,7.2633471590422e-05,2.901976209057633e-05,1.1125292627839345e-05,7.893511673184861e-07,3.0423275143576234e-07,2.3288827406819923e-06,2.4965548700850437e-06,2.7220569608077394e-06,0.0007838879054611059,0.003892730552824894,0.00020088245221996925,9.932521759514756e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025104617399055007,0.023963721380392045,5.810839240760757e-05,4.39179683524582e-05,2.7464832932588834e-05,3.2694568028457383e-06,3.837883908230921e-06,1.0568456025872308e-06,5.858074701992066e-07,1.8585886163435816e-08,9.558892499761384e-08,2.0313878534850005e-07,9.461330996440864e-08,5.63696076816278e-07,1.0906307801317183e-05,8.526345314463502e-05,1.1333038210104007e-06,3.342843510889537e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026076543239561545,9.389551101768312e-05,8.934909538604874e-05,0.0002311419680176563,2.7801265780613704e-06,0.00022118282485594776,6.30388247486735e-05,1.7517663702615316e-05,9.260691729018333e-07,1.4574723694593672e-07,8.796068797778389e-07,2.7220593494803325e-06,8.000693562104644e-07,0.0018615000950406024,0.01301512048346909,0.000462843645085087,2.8862877393898145e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32194456831958e-05,1.2741156071749415e-05,9.015547274282554e-06,9.861855871928782e-07,2.97018133332827e-06,3.88271653495309e-07,1.092489333887059e-06,1.0068038780453037e-07,7.459790118957699e-08,1.6721120554841207e-07,2.08891162478686e-07,1.0361860303120807e-07,3.499998504685742e-05,0.0001145573387707488,7.877887490792546e-06,4.2492230289958854e-07
