atom_numbers,value
N1,10.561802968910373
H2,1.9352083414805565
H3,1.9242567880314865
C4,9.624541121131498
H5,2.0986795306138974
C6,9.622246507057673
H7,2.066803936145785
H8,2.0780060301407426
C9,9.775645905388375
H10,2.063054923237522
H11,2.0769980182703076
S12,11.111614516742314
C13,9.838581401735585
H14,2.0779338931329674
H15,2.060165824572318
H16,2.0621541431010666
C17,9.740364431218673
O18,10.940914367539717
N19,10.377776033103437
H20,1.8954349174846847
C21,9.580803831978207
H22,2.037957646336859
C23,9.616766456545422
H24,2.070964644551377
H25,2.0486915452989996
C26,9.570781156469296
N27,10.448822656141623
C28,9.643009059124736
H29,2.0668661169219895
C30,9.673342244333158
H31,2.0677823837855396
N32,10.376800730449972
H33,1.8711128224422946
C34,9.768663744318156
O35,10.893482303810398
O36,10.876221465096759
H37,1.7595283712188214
