atom_numbers,value
N1,10.581375442034743
H2,1.921563778637055
H3,1.9378114901839187
C4,9.62046094635162
H5,2.0974981210205246
C6,9.642187179257574
H7,2.0856649568387833
H8,2.0770500240851852
C9,9.772252917549029
H10,2.063478886115234
H11,2.072689477523387
S12,11.067538770338798
C13,9.837076656817889
H14,2.063375604538338
H15,2.059875538744027
H16,2.078425894979368
C17,9.710689859698098
O18,10.937623185892623
N19,10.378996051176069
H20,1.8874859906784587
C21,9.597580695254802
H22,2.0392773353617932
C23,9.628083894816164
H24,2.072545272338973
H25,2.0711583199484127
C26,9.757527300376157
H27,2.053773349784192
H28,2.0715469671783593
S29,10.990589181796862
C30,9.840646180829252
H31,2.078690326049535
H32,2.051504377093319
H33,2.073568990288274
C34,9.709603797218966
O35,10.898196862730114
O36,10.884796130274848
H37,1.7569887972656777
