atom_numbers,value
N1,10.523854272821973
H2,1.9377860648087415
H3,1.9247027067534492
C4,9.630150545154526
H5,2.0902574106044547
C6,9.623056234926565
H7,2.0661745109475653
H8,2.0777121054706904
C9,9.769222410737758
H10,2.0635552161901565
H11,2.0749285999246116
S12,11.148662083035163
C13,9.838105619196641
H14,2.0781390752688136
H15,2.060588820513726
H16,2.0617553000407285
C17,9.709368793801552
O18,10.953472796589471
N19,10.313211221689299
C20,9.563585384535973
H21,2.055703971493905
C22,9.614454391143001
H23,2.0693200091261015
H24,2.0680696720275558
C25,9.624729877920586
H26,2.0733068474877068
H27,2.0790514081841645
C28,9.639070706506862
H29,2.085485407891598
H30,2.078257065722018
C31,9.783619957919422
O32,10.917740192905995
O33,10.915189030138816
H34,1.7586160640182924
