 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,H30,C31,H32,C33,H34,C35,O36,H37,C38,O39,O40,H41
N1,0.0,1.9328270634548708,1.9119760569723485,2.731868816737479,0.0891576001033626,0.19538156309750468,0.017477165826446095,0.007358273394237558,0.03388673219401493,0.001025839780117166,0.0009175085151263973,0.007475449637589809,0.0004222260360765978,1.3799277418624634e-05,7.876407155482656e-05,0.00017587025091825303,0.25197875048295554,0.05726214572108769,0.03842241898670856,0.0019529009280145893,0.0056872232172352905,0.0005379971898121783,0.0020159428963349157,2.583826723656646e-05,0.0003545178585854236,0.00048671408709727304,0.0026163766816678508,0.00012851810039671285,0.00030738748120621995,4.766022906999012e-06,0.0026397658583124234,0.00010081278695217577,0.00023761429300682424,2.0077870710455414e-07,0.00045971026669215653,9.999759598925545e-05,1.4676523196754943e-07,0.0005453596316047776,7.651542617620466e-05,0.0001306851846362006,1.762122109105757e-05
H2,0.0,0.0,0.026995944376645653,0.1065533395960997,0.00567574581747099,0.03222749929137747,0.001116117267039085,0.0005283277034560108,0.004689594348582071,0.00010151644928080295,2.3321721245084248e-05,0.0018949968364795344,6.0082431632912936e-05,1.5328402678260744e-06,9.95694611205522e-06,3.85534262590248e-05,0.010778386471186119,0.0013310998975321064,0.0019898018427226827,4.490585856098406e-05,0.0003048132949569071,3.07271426684963e-05,0.00016231373943720317,7.396689839733739e-06,4.2753614442059273e-05,0.0006589152456359937,0.008224596529150197,0.0001972306087567599,0.0009934171456841279,2.0280893164859037e-07,0.00951742964589497,0.00020005787671606434,0.0006772198212684488,2.1090760982112045e-07,0.0010970641166493378,0.00033477255576574994,1.1243827855444977e-06,7.78348278365204e-05,4.093017980877356e-06,1.7914702545973604e-05,6.856271715038886e-06
H3,0.0,0.0,0.0,0.10393678864539124,0.03683820093295087,0.010920210894937,0.0002702125525089194,0.0056183775358988886,0.0011130982187280702,6.059219320508902e-05,0.0004923644508734171,0.00022771124067755277,5.660324464362709e-05,2.278145424305933e-06,1.1714653413763543e-05,2.3464635383607657e-05,0.01603294154238233,0.0291320173649513,0.0027012977458037435,0.0006790210912792638,0.0003615962933977146,7.038640735856916e-05,2.484557159521117e-05,7.449410912130361e-06,1.3669468417187858e-06,7.509305759101359e-06,6.587170830696376e-05,1.0485516727110067e-05,3.7710183414807474e-06,6.395821166016447e-07,9.924785253168089e-05,5.494828664520668e-06,2.8531525709363237e-05,1.0421735985310931e-07,7.911144632599676e-05,1.057182833041903e-05,4.005978215815276e-08,4.323435683073473e-05,1.653246433697131e-05,4.7595470692440855e-06,1.1452433128500417e-06
C4,0.0,0.0,0.0,0.0,1.9793642933041031,2.7219811775770926,0.09313324045550142,0.08864303759849435,0.16398092066887565,0.006866162444117974,0.008553060895234665,0.044870496300299406,0.002432264765752451,5.2601584900502374e-05,0.00036637547768858525,0.001214259958147057,2.62757529281304,0.27562890937539153,0.23682240016849282,0.018338499464109037,0.03572193405224369,0.00629102738896381,0.0031958250410912548,0.00011121508830580495,0.0008091840536625927,0.0004375556930613089,0.0003619533383520529,4.270000236905602e-05,0.0002594358798883034,2.2648363422028694e-05,0.0002587873738871538,2.0019450843733466e-05,4.653708424481873e-05,3.512096649060936e-07,7.672400206870655e-05,1.3590667775648102e-05,1.2576680585851818e-07,0.0039926674699081455,0.0003847575321344332,0.0011813029469661396,0.0002572503475563037
H5,0.0,0.0,0.0,0.0,0.0,0.08064699455982738,0.0037738549548458344,0.03483056094512205,0.009381475191991173,9.989150418787673e-05,0.004426472224181355,0.0011013100379467788,0.0006633923582299861,8.11828094127165e-06,0.00011814667710896565,0.00028352528660824383,0.09031258882543858,0.020715402888382695,0.013470629577739146,0.013105614938500265,0.002161801368551597,0.0003793966108229796,6.222196654626089e-05,1.744689229599139e-05,1.7358081684681892e-05,2.7845014040073224e-05,2.227016620881539e-05,9.496185694013448e-06,1.2826479036665006e-05,3.5243367535464643e-06,9.189051669133974e-06,4.894380711828461e-07,6.584184257585335e-06,1.9204255519156277e-08,5.7795222061507445e-06,1.3117205968082857e-06,2.4707245582789028e-08,0.0001113018108274133,0.00011343305173050489,3.9703575938299096e-05,1.0003162917548991e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0558865648085165,2.0022890098618698,2.641461603759373,0.08261452630173349,0.08250733098318408,0.19262244115979116,0.015936784735614412,0.0008733889782339688,0.0015598290074972931,0.006109393535359331,0.1753609436683737,0.037484977659114224,0.030069775661851053,0.0013841094873574544,0.004655027653020144,0.00030685792670659406,0.0005668213052416188,1.9564441074981787e-05,5.499547433462926e-05,0.00016766770643539264,0.0001588106996581462,1.523813776849181e-05,4.5463247083682434e-05,1.738340174473052e-06,9.609553205321142e-05,8.947449299023802e-06,9.054550047085663e-06,1.0975785702527219e-07,3.4420521274114435e-05,6.405465551473366e-06,6.617514491935594e-08,0.0011038996055372785,0.00010344745698204205,0.0003156960521661645,0.00010608999132755148
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024133004750401588,0.08298616594696029,0.03407800302450559,0.005199016144006974,0.015119620000107692,0.0006363664250926826,0.0002603798494762444,6.013618495148698e-05,0.00011393064325093682,0.02968988145545648,0.004454905095684136,0.0035956450245959726,9.167863532133502e-05,0.0008836725480594332,7.556529141372614e-05,5.1595378607660614e-05,2.1938432321899626e-06,2.0918959317217656e-05,1.1780843045761102e-05,1.4260731079906996e-05,1.8052630434972627e-07,5.960514911862447e-06,2.262387641671637e-07,5.7756666156372205e-06,1.319558879941951e-07,1.6771620734434833e-06,3.2904302837977184e-08,2.6701518909266753e-06,5.894811920814647e-07,6.861523571544126e-09,0.00017039322752210317,1.5645331874813984e-05,4.989770194907539e-05,1.266435851321468e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08152739211783866,0.00467768308546912,0.033000326696134064,0.009814126508565058,0.007049136482592866,3.825839884497029e-05,0.0006307352502938901,0.00898152005336339,0.013170263891025602,0.017458134003593972,0.002300291277358868,0.0006458218272633598,0.00024677755569202375,4.482634540559083e-05,2.6211650282936816e-05,2.8714386994810326e-06,4.034490810767011e-06,8.900296347036374e-06,1.1687853391340042e-05,1.7863547154828296e-06,5.335987227184091e-06,5.693426194941509e-07,3.4670655746360524e-06,5.657644686074548e-08,8.824022896813943e-07,1.7916006234131032e-08,1.408780188949521e-06,2.1350006407239164e-07,2.509295438102299e-09,3.056261951428496e-05,1.2651513748185295e-05,4.3137173377783e-06,6.021045000359493e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06461847361367,2.0156005718456425,2.841663352905019,0.11776765945004886,0.009685314583084859,0.027551191249208462,0.006314771887789283,0.01865440604867752,0.0055518163664128595,0.005046860538377551,0.000610217212479558,0.00041141374730874203,1.8933597973003202e-05,0.00017060513349451134,4.044955096538239e-06,1.7602940488137264e-05,5.2697466741094545e-05,3.61929216949608e-05,3.4568002067469905e-06,1.3157334809776877e-05,1.8919256106197935e-07,2.498829183063267e-05,2.3771546020512346e-06,5.034510796100844e-06,1.170235119918317e-08,9.189792174763012e-06,1.8746549850373606e-06,7.2296225672729975e-09,0.000160514297006642,0.00012544944071774672,3.791045637341339e-05,8.888844259757889e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024359484803449183,0.08806735537495525,0.01072535021873211,0.004785760225106905,0.0004608658952243161,0.0006338692421619108,0.012177167119451271,0.0016583265205444286,0.002922029885382482,0.00020570219409621338,0.00014972209682762028,7.159647994248175e-06,0.00011407390484707847,1.6418763999492825e-06,6.262434865789146e-06,7.049122193603097e-05,3.463317465435267e-05,1.1394668566477861e-06,1.110526056091743e-05,1.4679310944565316e-07,2.6306993508029564e-06,6.617641101769323e-08,5.390694182927369e-06,2.4569983159139497e-08,6.2299552161526606e-06,1.7328689153606192e-06,6.740868085941543e-09,0.00019844778888056247,0.0003025257379005719,4.9241503333519177e-05,2.3463564191583686e-06
