atom_numbers,value
N1,10.516563117772522
H2,1.922159816421477
H3,1.935093968068823
C4,9.62754945171617
H5,2.060521858262599
C6,9.623226757051587
H7,2.049043468229775
H8,2.080297622254924
C9,9.466471390504427
C10,9.518476502763544
H11,2.07702525622598
C12,9.534254374655951
H13,2.066940657956299
C14,9.512144172647748
H15,2.07476796423715
C16,9.515373412692021
H17,2.0732833866871028
C18,9.52021420415208
H19,2.0758271988454555
C20,9.714631306810393
O21,10.961662596755193
N22,10.373970009839741
H23,1.8739615663301925
C24,9.60009775034606
H25,2.0298384869483757
C26,9.63413980391069
H27,2.0502906001984735
H28,2.0372437849819773
C29,9.713602726742254
O30,10.926696375500338
N31,10.401157865065857
H32,1.8937542101793077
H33,1.8886900201797878
C34,9.720623879293807
O35,10.910100633928238
O36,10.890990184831542
H37,1.7523695255764502
