atom_numbers,value
N1,10.571353272363593
H2,1.9307482341258804
H3,1.9260340602258976
C4,9.625501698573574
H5,2.0794572232525197
C6,9.607477045366583
H7,2.0569194163942384
H8,2.071468486245246
C9,9.43056232181279
C10,9.48997520931357
H11,2.0793969623597763
C12,9.498548625352669
H13,2.0577499457919695
C14,9.491153535817853
H15,2.078835583228808
C16,9.493261230797597
H17,2.0773723877923826
C18,9.49578724579241
H19,2.0796788336422565
C20,9.69931077001123
O21,10.93437931711703
N22,10.401090156983186
H23,1.8889930490427966
C24,9.584267067996235
H25,2.0413847952474495
C26,9.55633091559941
H27,2.081189910043406
C28,9.637279007245077
H29,2.08761389776412
H30,2.0880559237305265
C31,9.723596797057805
H32,2.0845067316216035
H33,2.0804614969550745
H34,2.0844968551018734
C35,9.729102187361137
H36,2.092276924231025
H37,2.0911112726594996
H38,2.0829354083866476
C39,9.755433542491868
O40,10.91237038047434
O41,10.91381468404765
H42,1.7624221894653758
